"fdc_id","data_type","description","food_category_id","publication_date"
"2258370","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2258371","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258372","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258373","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2258374","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258375","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258376","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258377","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258378","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258379","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258380","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2258381","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258382","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258383","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2258384","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258385","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258386","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258387","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258388","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258389","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258390","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2258391","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258392","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258393","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258394","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258395","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258396","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258397","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258398","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258399","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258400","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258401","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258402","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258403","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258404","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
