"id","fdc_id","seq_num","amount","measure_unit_id","portion_description","modifier","gram_weight","data_points","footnote","min_year_acquired"
"118755","320358","","1.0","1046","","raw","634.0","2","",""
"118756","320359","","1.0","1046","","raw","788.0","2","",""
"118757","320360","","1.0","1046","","raw","629.0","2","",""
"118758","320361","","1.0","1046","","raw","707.0","2","",""
"118759","320362","","1.0","1046","","raw","690.0","2","",""
"118760","320363","","1.0","1046","","raw","685.0","2","",""
"118761","320364","","1.0","1046","","raw","706.0","2","",""
"118762","320365","","1.0","1046","","raw","581.0","2","",""
"118763","320366","","1.0","1046","","raw","741.0","2","",""
"118764","320367","","1.0","1046","","raw","752.0","2","",""
"118765","320368","","1.0","1046","","raw","529.0","2","",""
"118766","320369","","1.0","1054","","raw","113.0","6","",""
"118767","320370","","1.0","1054","","raw","174.0","6","",""
"118768","320371","","1.0","1054","","raw","113.0","6","",""
"118769","320372","","1.0","1054","","raw","177.0","6","",""
"118770","320373","","1.0","1054","","raw","132.0","6","",""
"118771","320374","","1.0","1054","","raw","94.2","6","",""
"118772","320375","","1.0","1054","","raw","147.0","6","",""
"118773","320376","","1.0","1054","","raw","146.0","6","",""
"118774","320377","","1.0","1054","","raw","189.0","6","",""
"118775","320378","","1.0","1054","","raw","193.0","6","",""
"118776","320379","","1.0","1054","","raw","169.0","6","",""
"118778","320444","","5.0","1082","","","34.1","1","",""
"118779","320444","","1.0","1000","","","155.0","1","",""
"118780","320446","","5.0","1082","","","52.7","1","",""
"118781","320446","","1.0","1000","","","149.0","1","",""
"118782","320452","","5.0","1082","","","26.2","1","",""
"118783","320452","","1.0","1000","","","147.0","1","",""
"118784","320454","","5.0","1082","","","50.5","1","",""
"118785","320454","","1.0","1000","","","152.0","1","",""
"118786","320461","","5.0","1082","","","52.3","1","",""
"118787","320461","","1.0","1000","","","141.0","1","",""
"118788","320463","","5.0","1082","","","50.1","1","",""
"118789","320463","","1.0","1000","","","148.0","1","",""
"118790","320477","","5.0","1082","","","45.8","1","",""
"118791","320477","","1.0","1000","","","157.0","1","",""
"118792","320481","","5.0","1082","","","45.4","1","",""
"118793","320481","","1.0","1000","","","147.0","1","",""
"118794","320513","","5.0","1082","","","91.7","1","",""
"118795","320513","","1.0","1000","","","156.0","1","",""
"118796","320515","","5.0","1082","","","52.0","1","",""
"118797","320515","","1.0","1000","","","161.0","1","",""
"118804","321358","1","2.0","1001","","","33.9","21","","2015"
"118805","321359","1","1.0","1000","","","227.0","24","","2018"
"118806","321359","2","1.0","1009","","","30.5","1","","2018"
"118807","321359","3","1.0","1045","","","976.0","1","","2018"
"118808","321360","1","5.0","1082","","","49.7","11","","2016"
"118809","321360","2","1.0","1000","","","152.0","11","","2016"
"118810","321362","","1.0","1002","","","6.6","1","",""
"118811","321368","","1.0","1002","","","5.8","1","",""
"118812","321374","","1.0","1002","","","6.0","1","",""
"118813","321380","","1.0","1002","","","5.9","1","",""
"118814","321385","","1.0","1002","","","6.1","1","",""
"118815","321390","","1.0","1002","","","6.0","1","",""
"118816","321395","","1.0","1002","","","6.5","1","",""
"118817","321401","","1.0","1002","","","6.2","1","",""
"118818","321407","","1.0","1002","","","6.0","1","",""
"118819","321413","","1.0","1002","","","6.0","1","",""
"118820","321418","","1.0","1002","","","5.7","1","",""
"118821","321424","","1.0","1002","","","6.5","1","",""
"118822","321430","","1.0","1002","","","6.2","1","",""
"118823","321436","","1.0","1002","","","5.9","1","",""
"118824","321442","","1.0","1002","","","6.4","1","",""
"118825","321447","","1.0","1002","","","6.6","1","",""
"118826","321453","","1.0","1002","","","6.2","1","",""
"118827","321459","","1.0","1002","","","6.0","1","",""
"118828","321465","","1.0","1002","","","5.9","1","",""
"118829","321476","","1.0","1002","","","6.3","1","",""
"118830","321482","","1.0","1002","","","5.7","1","",""
"118831","321488","","1.0","1002","","","5.7","1","",""
"118832","321494","","1.0","1002","","","6.0","1","",""
"118833","321500","","1.0","1002","","","5.8","1","",""
"118834","321505","1","1.0","1002","","","6.1","24","","2018"
"118835","321507","","1.0","1000","","drained","132.0","1","",""
"118836","321509","","1.0","1000","","drained","130.0","1","",""
"118837","321514","","1.0","1000","","drained","133.0","1","",""
"118838","321516","","1.0","1000","","drained","130.0","1","",""
"118839","321522","","1.0","1000","","drained","130.0","1","",""
"118840","321524","","1.0","1000","","drained","131.0","1","",""
"118841","321529","","1.0","1000","","drained","125.0","1","",""
"118842","321532","","1.0","1000","","drained","135.0","1","",""
"118843","321539","","1.0","1000","","drained","134.0","1","",""
"118844","321542","","1.0","1000","","drained","128.0","1","",""
"118845","321548","","1.0","1000","","drained","125.0","1","",""
"118846","321551","","1.0","1000","","drained","127.0","1","",""
"118847","321558","","1.0","1000","","drained","131.0","1","",""
"118848","321561","","1.0","1000","","drained","124.0","1","",""
"118849","321563","","1.0","1000","","drained","128.0","1","",""
"118850","321567","","1.0","1000","","drained","134.0","1","",""
"118851","321574","","1.0","1000","","drained","127.0","1","",""
"118852","321577","","1.0","1000","","drained","125.0","1","",""
"118853","321585","","1.0","1000","","drained","124.0","1","",""
"118854","321586","","1.0","1000","","drained","128.0","1","",""
"118855","321592","","1.0","1000","","drained","128.0","1","",""
"118856","321595","","1.0","1000","","drained","130.0","1","",""
"118857","321602","","1.0","1000","","drained","125.0","1","",""
"118858","321605","","1.0","1000","","drained","129.0","1","",""
"118859","321611","1","1.0","1000","","drained","129.0","24","","2015"
"118860","321676","","1.0","1053","","","233.0","12","",""
"118861","321676","","1.0","1000","","chopped","76.0","12","",""
"118862","321846","","1.0","1053","","cooked","242.0","6","",""
"118863","321846","","1.0","1000","","cooked, chopped","114.0","6","",""
"118864","321900","1","1.0","1000","","chopped","76.0","12","","2001"
"118865","321902","","1.0","1000","","","238.0","1","",""
"118866","321908","","1.0","1000","","","221.0","1","",""
"118867","321914","","1.0","1000","","","223.0","1","",""
"118868","321921","","1.0","1000","","","232.0","1","",""
"118869","321941","","1.0","1000","","","227.0","1","",""
"118870","321960","","1.0","1000","","","239.0","1","",""
"118871","321979","","1.0","1000","","","250.0","1","",""
"118872","322002","","1.0","1000","","","251.0","1","",""
"118873","322002","","1.0","1009","","","30.5","1","",""
"118874","322002","","1.0","1045","","","976.0","1","",""
"118875","322021","","1.0","1000","","","232.0","1","",""
"118876","322044","","1.0","1000","","","242.0","1","",""
"118877","322050","","1.0","1000","","","227.0","1","",""
"118878","322056","","1.0","1000","","","230.0","1","",""
"118879","322062","","1.0","1000","","","230.0","1","",""
"118880","322068","","1.0","1000","","","232.0","1","",""
"118881","322074","","1.0","1000","","","231.0","1","",""
"118882","322080","","1.0","1000","","","226.0","1","",""
"118883","322086","","1.0","1000","","","229.0","1","",""
"118884","322106","","1.0","1000","","","230.0","1","",""
"118885","322129","","1.0","1000","","","242.0","1","",""
"118886","322151","","1.0","1000","","","237.0","1","",""
"118887","322174","","1.0","1000","","","221.0","1","",""
"118888","322183","","1.0","1000","","","230.0","1","",""
"118889","322189","","1.0","1000","","","233.0","1","",""
"118890","322208","","1.0","1000","","","232.0","1","",""
"118891","322228","1","1.0","1000","","","233.0","24","","2018"
"118892","322228","2","1.0","1009","","","30.5","1","","2018"
"118893","322228","3","1.0","1045","","","976.0","1","","2018"
"118894","322230","","1.0","1000","","","222.0","1","",""
"118895","322230","","1.0","1009","","","30.6","1","",""
"118896","322230","","1.0","1045","","","980.0","1","",""
"118897","322237","","1.0","1000","","","231.0","1","",""
"118898","322244","","1.0","1000","","","227.0","1","",""
"118899","322250","","1.0","1000","","","231.0","1","",""
"118900","322269","","1.0","1000","","","225.0","1","",""
"118901","322288","","1.0","1000","","","223.0","1","",""
"118902","322307","","1.0","1000","","","232.0","1","",""
"118903","322330","","1.0","1000","","","224.0","1","",""
"118904","322350","","1.0","1000","","","236.0","1","",""
"118905","322374","","1.0","1000","","","233.0","1","",""
"118906","322380","","1.0","1000","","","229.0","1","",""
"118907","322387","","1.0","1000","","","228.0","1","",""
"118908","322393","","1.0","1000","","","228.0","1","",""
"118909","322399","","1.0","1000","","","233.0","1","",""
"118910","322405","","1.0","1000","","","229.0","1","",""
"118911","322411","","1.0","1000","","","233.0","1","",""
"118912","322417","","1.0","1000","","","227.0","1","",""
"118913","322440","","1.0","1000","","","237.0","1","",""
"118914","322449","","1.0","1000","","","229.0","1","",""
"118915","322472","","1.0","1000","","","230.0","1","",""
"118916","322493","","1.0","1000","","","229.0","1","",""
"118917","322515","","1.0","1000","","","229.0","1","",""
"118918","322521","","1.0","1000","","","228.0","1","",""
"118919","322540","","1.0","1000","","","229.0","1","",""
"118920","322559","1","1.0","1000","","","229.0","24","","2018"
"118921","322559","2","1.0","1009","","","30.6","1","","2018"
"118922","322559","3","1.0","1045","","","980.0","1","","2018"
"118923","322561","","1.0","1000","","","227.0","1","",""
"118924","322561","","1.0","1000","","","244.0","1","",""
"118925","322561","","1.0","1009","","","30.5","1","",""
"118926","322561","","1.0","1001","","","15.0","1","",""
"118927","322561","","1.0","1045","","","976.0","1","",""
"118928","322567","","1.0","1000","","","219.0","1","",""
"118929","322589","","1.0","1000","","","228.0","1","",""
"118930","322613","","1.0","1000","","","225.0","1","",""
"118931","322629","","1.0","1000","","","231.0","1","",""
"118932","322648","","1.0","1000","","","224.0","1","",""
"118933","322667","","1.0","1000","","","228.0","1","",""
"118934","322690","","1.0","1000","","","222.0","1","",""
"118935","322697","","1.0","1000","","","234.0","1","",""
"118936","322703","","1.0","1000","","","225.0","1","",""
"118937","322709","","1.0","1000","","","229.0","1","",""
"118938","322716","","1.0","1000","","","232.0","1","",""
"118939","322722","","1.0","1000","","","229.0","1","",""
"118940","322728","","1.0","1000","","","224.0","1","",""
"118941","322735","","1.0","1000","","","228.0","1","",""
"118942","322741","","1.0","1000","","","253.0","1","",""
"118943","322764","","1.0","1000","","","226.0","1","",""
"118944","322770","","1.0","1000","","","221.0","1","",""
"118945","322794","","1.0","1000","","","232.0","1","",""
"118946","322815","","1.0","1000","","","229.0","1","",""
"118947","322837","","1.0","1000","","","224.0","1","",""
"118948","322843","","1.0","1000","","","230.0","1","",""
"118949","322852","","1.0","1000","","","228.0","1","",""
"118950","322872","","1.0","1000","","","229.0","1","",""
"118951","322892","1","1.0","1000","","","229.0","25","","2018"
"118952","322892","2","1.0","1009","","","30.5","1","","2018"
"118953","322892","3","1.0","1001","","","15.0","1","","2018"
"118954","322892","4","1.0","1045","","","976.0","1","","2018"
"118955","322894","","1.0","1043","","","48.1","1","",""
"118956","322900","","1.0","1043","","","46.6","1","",""
"118957","322903","","1.0","1043","","","46.5","1","",""
"118958","322911","","1.0","1043","","","47.7","1","",""
"118959","322914","","1.0","1043","","","46.6","1","",""
"118960","322921","","1.0","1043","","","47.7","1","",""
"118961","322924","","1.0","1043","","","47.7","1","",""
"118962","322938","","1.0","1043","","","47.7","1","",""
"118963","322941","","1.0","1043","","","47.4","1","",""
"118964","322956","","1.0","1043","","","51.9","1","",""
"118965","322959","","1.0","1043","","","54.1","1","",""
"118966","322966","","1.0","1043","","","55.6","1","",""
"118967","322973","","1.0","1043","","","47.5","1","",""
"118968","322976","","1.0","1043","","","47.3","1","",""
"118969","322993","","1.0","1043","","","50.6","1","",""
"118970","322996","","1.0","1043","","","52.5","1","",""
"118971","323011","","1.0","1043","","","42.6","1","",""
"118972","323013","","1.0","1043","","","52.3","1","",""
"118973","323028","","1.0","1043","","","55.6","1","",""
"118974","323031","","1.0","1043","","","52.9","1","",""
"118975","323045","","1.0","1043","","","47.4","1","",""
"118976","323048","","1.0","1043","","","48.3","1","",""
"118977","323055","","1.0","1043","","","47.4","1","",""
"118978","323058","","1.0","1043","","","46.6","1","",""
"118979","323070","","1.0","1043","","","48.3","1","",""
"118980","323073","","1.0","1043","","","47.3","1","",""
"118981","323086","","1.0","1043","","","46.7","1","",""
"118982","323089","","1.0","1043","","","46.7","1","",""
"118983","323096","","1.0","1043","","","47.5","1","",""
"118984","323099","","1.0","1043","","","47.7","1","",""
"118985","323106","","1.0","1043","","","46.8","1","",""
"118986","323108","","1.0","1043","","","47.2","1","",""
"118987","323121","1","1.0","1043","","","48.6","32","","2015"
"118988","323123","","1.0","1000","","whole","137.0","1","",""
"118989","323125","","1.0","1000","","whole","137.0","1","",""
"118990","323130","","1.0","1000","","whole","137.0","1","",""
"118991","323132","","1.0","1000","","whole","133.0","1","",""
"118992","323138","","1.0","1000","","whole","138.0","1","",""
"118993","323140","","1.0","1000","","whole","135.0","1","",""
"118994","323147","","1.0","1000","","whole","139.0","1","",""
"118995","323150","","1.0","1000","","whole","137.0","1","",""
"118996","323162","","1.0","1000","","whole","134.0","1","",""
"118997","323164","","1.0","1000","","whole","136.0","1","",""
"118998","323179","","1.0","1000","","whole","130.0","1","",""
"118999","323183","","1.0","1000","","whole","131.0","1","",""
"119000","323190","","1.0","1000","","whole","137.0","1","",""
"119001","323192","","1.0","1000","","whole","137.0","1","",""
"119002","323206","","1.0","1000","","whole","131.0","1","",""
"119003","323213","","1.0","1000","","whole","130.0","1","",""
"119004","323216","","1.0","1000","","whole","130.0","1","",""
"119005","323231","","1.0","1000","","whole","128.0","1","",""
"119006","323234","","1.0","1000","","whole","129.0","1","",""
"119007","323251","","1.0","1000","","whole","138.0","1","",""
"119008","323266","","1.0","1000","","whole","138.0","1","",""
"119009","323268","","1.0","1000","","whole","134.0","1","",""
"119010","323281","","1.0","1000","","whole","132.0","1","",""
"119011","323282","","1.0","1000","","whole","140.0","1","",""
"119012","323294","1","1.0","1000","","whole","135.0","24","","2001"
"119013","323296","","0.2","1000","","","66.7","1","",""
"119014","323297","","0.2","1000","","","66.1","1","",""
"119015","323305","","0.2","1000","","","59.5","1","",""
"119016","323312","","0.2","1000","","","69.2","1","",""
"119017","323314","","0.2","1000","","","67.0","1","",""
"119018","323327","","0.2","1000","","","66.7","1","",""
"119019","323329","","0.2","1000","","","68.5","1","",""
"119020","323343","","0.2","1000","","","64.1","1","",""
"119021","323345","","0.2","1000","","","60.7","1","",""
"119022","323362","","0.2","1000","","","62.9","1","",""
"119023","323364","","0.2","1000","","","61.3","1","",""
"119024","323371","","0.2","1000","","","63.6","1","",""
"119025","323373","","0.2","1000","","","61.3","1","",""
"119026","323379","","0.2","1000","","","61.8","1","",""
"119027","323381","","0.2","1000","","","63.4","1","",""
"119028","323394","","0.2","1000","","","62.4","1","",""
"119029","323396","","0.2","1000","","","65.1","1","",""
"119030","323409","","0.2","1000","","","65.4","1","",""
"119031","323410","","0.2","1000","","","65.5","1","",""
"119032","323426","","0.2","1000","","","66.8","1","",""
"119033","323427","","0.5","1000","","","129.0","1","",""
"119034","323427","","1.0","1000","","","258.0","1","",""
"119035","323427","","0.2","1000","","","68.5","1","",""
"119036","323444","1","0.2","1000","","","64.6","21","","2016"
"119037","323444","3","0.5","1000","","","129.0","1","","2016"
"119038","323444","3","1.0","1000","","","258.0","1","","2016"
"119039","323446","","1.0","1011","","","263.0","1","",""
"119040","323446","","1.0","1000","","pieces of ~1""","17.4","1","",""
"119041","323447","","1.0","1011","","","448.0","1","",""
"119042","323447","","1.0","1000","","pieces of ~1""","20.8","1","",""
"119043","323452","","1.0","1011","","","1340.0","1","",""
"119044","323452","","1.0","1000","","pieces of ~1""","17.2","1","",""
"119045","323453","","1.0","1011","","","727.0","1","",""
"119046","323453","","1.0","1000","","pieces of ~1""","20.0","1","",""
"119047","323459","","1.0","1011","","","307.0","1","",""
"119048","323459","","1.0","1000","","pieces of ~1""","22.2","1","",""
"119049","323460","","1.0","1011","","","293.0","1","",""
"119050","323460","","1.0","1000","","pieces of ~1""","23.0","1","",""
"119051","323474","","1.0","1011","","","480.0","1","",""
"119052","323474","","1.0","1000","","pieces of ~1""","23.6","1","",""
"119053","323491","","1.0","1011","","","897.0","1","",""
"119054","323491","","1.0","1000","","pieces of ~1""","20.7","1","",""
"119055","323492","","1.0","1011","","","638.0","1","",""
"119056","323492","","1.0","1000","","pieces of ~1""","20.4","1","",""
"119057","323505","1","1.0","1000","","pieces of ~1""","20.6","9","","2015"
"119058","323556","","1.0","1000","","","243.0","1","",""
"119059","323563","","1.0","1038","","","28.4","1","",""
"119060","323604","1","1.0","1038","","","28.4","1","","2017"
"119061","323635","","1.0","1038","","","28.4","1","",""
"119062","323647","","1.0","1000","","","243.0","1","",""
"119063","323697","1","1.0","1038","","","28.4","1","","2017"
"119064","323775","","1.0","1038","","","28.4","1","",""
"119065","323775","","1.0","1000","","sifted","107.0","1","",""
"119066","323775","","1.0","1001","","","7.0","1","",""
"119067","323788","","1.0","1001","","","7.0","1","",""
"119068","323788","","1.0","1000","","","107.0","1","",""
"119069","323793","1","1.0","1001","","","7.0","2","","2017"
"119070","323793","2","1.0","1000","","sifted","107.0","1","","2017"
"119071","323819","","2.0","1001","","","36.0","1","",""
"119072","323819","","1.0","1000","","","259.0","1","",""
"119073","323888","","2.0","1001","","","34.7","1","",""
"119074","323889","","2.0","1001","","","34.4","1","",""
"119075","323898","","2.0","1001","","","33.7","1","",""
"119076","323899","","2.0","1001","","","33.9","1","",""
"119077","323906","","2.0","1001","","","34.4","1","",""
"119078","323909","","2.0","1001","","","34.0","1","",""
"119079","323916","","2.0","1001","","","37.2","1","",""
"119080","323917","","2.0","1001","","","36.3","1","",""
"119081","323932","","2.0","1001","","","35.7","1","",""
"119082","323935","","2.0","1001","","","38.6","1","",""
"119083","323950","","2.0","1001","","","39.3","1","",""
"119084","323951","","2.0","1001","","","36.3","1","",""
"119085","323964","","2.0","1001","","","38.2","1","",""
"119086","323965","","2.0","1001","","","35.9","1","",""
"119087","323973","","2.0","1001","","","34.5","1","",""
"119088","323974","","2.0","1001","","","33.0","1","",""
"119089","323989","","2.0","1001","","","37.0","1","",""
"119090","323991","","2.0","1001","","","36.6","1","",""
"119091","324006","","2.0","1001","","","35.5","1","",""
"119092","324007","","2.0","1001","","","35.8","1","",""
"119093","324013","","2.0","1001","","","34.4","1","",""
"119094","324014","","2.0","1001","","","36.9","1","",""
"119095","324022","","2.0","1001","","","34.2","1","",""
"119096","324023","","2.0","1001","","","36.4","1","",""
"119097","324038","1","2.0","1001","","","35.7","24","","2011"
"119098","324040","","1.0","1033","","","16.6","1","",""
"119099","324045","","1.0","1033","","","19.2","1","",""
"119100","324054","","1.0","1043","","large sausage not a link","148.0","1","",""
"119101","324072","","1.0","1033","","","24.0","1","",""
"119102","324092","","1.0","1033","","","15.7","1","",""
"119103","324097","","1.0","1033","","","17.9","1","",""
"119104","324114","","1.0","1033","","","18.0","1","",""
"119105","324119","","1.0","1033","","","19.2","1","",""
"119106","324143","","1.0","1033","","","18.1","1","",""
"119107","324157","1","1.0","1033","","","18.6","8","","2016"
"119108","324160","","1.0","1043","","","15.4","1","",""
"119109","324161","","1.0","1043","","","13.6","1","",""
"119110","324167","","1.0","1043","","","11.2","1","",""
"119111","324171","","1.0","1043","","","21.0","1","",""
"119112","324174","","1.0","1043","","","38.6","1","",""
"119113","324178","","1.0","1043","","","16.2","1","",""
"119114","324180","","1.0","1043","","","19.5","1","",""
"119115","324196","","1.0","1043","","","32.7","1","",""
"119116","324197","","1.0","1043","","","23.6","1","",""
"119117","324215","","1.0","1043","","","18.5","1","",""
"119118","324217","","1.0","1043","","","19.0","1","",""
"119119","324234","","1.0","1043","","","12.6","1","",""
"119120","324235","","1.0","1043","","","24.9","1","",""
"119121","324255","","1.0","1043","","","15.4","1","",""
"119122","324256","","1.0","1043","","","13.6","1","",""
"119123","324261","","1.0","1043","","","14.1","1","",""
"119124","324262","","1.0","1043","","","23.5","1","",""
"119125","324280","","1.0","1043","","","22.4","1","",""
"119126","324281","","1.0","1043","","","28.2","1","",""
"119127","324298","","1.0","1043","","","16.2","1","",""
"119128","324299","","1.0","1043","","","23.5","1","",""
"119129","324317","1","1.0","1043","","","20.2","21","","2012"
"119130","324319","","1.0","9999","","","66.5","1","",""
"119131","324320","","1.0","9999","","","45.6","1","",""
"119132","324328","","1.0","9999","","","51.3","1","",""
"119133","324329","","1.0","9999","","","68.4","1","",""
"119134","324333","","1.0","9999","","","40.8","1","",""
"119135","324335","","1.0","9999","","","44.8","1","",""
"119136","324341","","1.0","9999","","","23.0","1","",""
"119137","324342","","1.0","9999","","","43.2","1","",""
"119138","324353","","1.0","9999","","","41.6","1","",""
"119139","324356","","1.0","9999","","","22.7","1","",""
"119140","324360","","1.0","9999","","","36.0","1","",""
"119141","324363","","1.0","9999","","","26.1","1","",""
"119142","324368","","1.0","9999","","","48.2","1","",""
"119143","324369","","1.0","9999","","","55.1","1","",""
"119144","324385","","1.0","9999","","","54.1","1","",""
"119145","324387","","1.0","9999","","","58.0","1","",""
"119146","324403","","1.0","9999","","","25.7","1","",""
"119147","324404","","1.0","9999","","","27.2","1","",""
"119148","324415","","1.0","9999","","","27.3","1","",""
"119149","324416","","1.0","9999","","","33.1","1","",""
"119150","324422","","1.0","9999","","","27.5","1","",""
"119151","324425","","1.0","9999","","","34.4","1","",""
"119152","324441","","1.0","9999","","","46.5","1","",""
"119153","324442","","1.0","9999","","","49.9","1","",""
"119154","324448","","1.0","9999","","","50.4","1","",""
"119155","324449","","1.0","9999","","","48.8","1","",""
"119156","324453","","1.0","9999","","","49.6","1","",""
"119157","324454","","1.0","9999","","","55.8","1","",""
"119158","324460","","1.0","9999","","","60.5","1","",""
"119159","324461","","1.0","9999","","","33.3","1","",""
"119160","324473","","1.0","9999","","","36.0","1","",""
"119161","324475","","1.0","9999","","","48.3","1","",""
"119162","324487","","1.0","9999","","","27.7","1","",""
"119163","324488","","1.0","9999","","","43.9","1","",""
"119164","324503","","1.0","1077","","","24.2","1","",""
"119165","324504","","1.0","1077","","","34.2","1","",""
"119166","324509","","1.0","1077","","","24.6","1","",""
"119167","324510","","1.0","1077","","","18.7","1","",""
"119168","324517","","1.0","9999","","","49.3","1","",""
"119169","324518","","1.0","9999","","","42.7","1","",""
"119170","324530","","1.0","1077","","","25.8","1","",""
"119171","324532","","1.0","1077","","","29.1","1","",""
"119172","324538","","1.0","1077","","","34.1","1","",""
"119173","324540","","1.0","1077","","","20.9","1","",""
"119174","324546","","1.0","1077","","","25.6","1","",""
"119175","324548","","1.0","1077","","","23.6","1","",""
"119176","324554","","1.0","1077","","","22.5","1","",""
"119177","324556","","1.0","1077","","","34.3","1","",""
"119178","324562","","1.0","1077","","","33.6","1","",""
"119179","324563","","1.0","1077","","","69.5","1","",""
"119180","324568","","1.0","1077","","","32.0","1","",""
"119181","324570","","1.0","1077","","","45.8","1","",""
"119182","324576","","1.0","1077","","","37.3","1","",""
"119183","324578","","1.0","1077","","","36.2","1","",""
"119184","324583","","1.0","1077","","","58.2","1","",""
"119185","324585","","1.0","1077","","","57.1","1","",""
"119186","324591","","1.0","1077","","","56.3","1","",""
"119187","324593","","1.0","1077","","","47.6","1","",""
"119188","324599","","1.0","1077","","","45.6","1","",""
"119189","324601","","1.0","1077","","","43.3","1","",""
"119190","324607","","1.0","1077","","","58.1","1","",""
"119191","324608","","1.0","1077","","","44.9","1","",""
"119192","324614","","1.0","1077","","","40.8","1","",""
"119193","324616","","1.0","1077","","","69.0","1","",""
"119194","324622","","1.0","1077","","","54.5","1","",""
"119195","324624","","1.0","1077","","","48.4","1","",""
"119196","324630","","1.0","1077","","","46.3","1","",""
"119197","324632","","1.0","1077","","","41.7","1","",""
"119198","324638","","1.0","1077","","","51.1","1","",""
"119199","324640","","1.0","1077","","","54.4","1","",""
"119200","324646","","1.0","1077","","","29.4","1","",""
"119201","324648","","1.0","1077","","","36.5","1","",""
"119202","324653","1","1.0","1077","","","40.4","36","","2016"
"119203","324734","","1.0","1000","","","258.0","1","",""
"119204","324734","","2.0","1001","","","32.0","1","",""
"119205","324855","","2.0","1001","","","32.0","1","",""
"119206","324855","","1.0","1000","","","258.0","1","",""
"119207","324860","1","2.0","1001","","","32.0","1","","2013"
"119208","324860","2","1.0","1000","","","258.0","1","","2013"
"119209","324862","","1.0","1001","","","7.8","1","",""
"119210","324864","","1.0","1001","","","7.2","1","",""
"119211","324872","","1.0","1001","","","7.4","1","",""
"119212","324874","","1.0","1001","","","7.5","1","",""
"119213","324885","","1.0","1001","","","7.3","1","",""
"119214","324887","","1.0","1001","","","7.2","1","",""
"119215","324894","","1.0","1001","","","6.7","1","",""
"119216","324896","","1.0","1000","","","100.0","1","",""
"119217","324897","","1.0","1001","","","7.2","1","",""
"119218","324914","","1.0","1001","","","7.8","1","",""
"119219","324922","","1.0","1001","","","7.3","1","",""
"119220","324927","","1.0","1001","","","7.6","1","",""
"119221","324941","","1.0","1001","","","7.5","1","",""
"119222","324942","","1.0","1001","","","7.5","1","",""
"119223","324961","","1.0","1001","","","7.4","1","",""
"119224","324962","","1.0","1001","","","8.0","1","",""
"119225","324971","","1.0","1001","","","7.6","1","",""
"119226","324974","","1.0","1001","","","7.7","1","",""
"119227","324991","","1.0","1001","","","7.3","1","",""
"119228","324994","","1.0","1001","","","7.2","1","",""
"119229","325010","","1.0","1001","","","8.3","1","",""
"119230","325011","","1.0","1001","","","7.7","1","",""
"119231","325021","","1.0","1001","","","8.3","1","",""
"119232","325023","","1.0","1001","","","8.9","1","",""
