"fdc_id_of_sample_food","fdc_id_of_acquisition_food"
"321512","321517"
"321512","321515"
"321512","321514"
"321521","321523"
"321521","321522"
"321521","321524"
"321528","321529"
"321528","321533"
"321528","321531"
"321528","321532"
"321528","321530"
"321528","321534"
"321538","321543"
"321538","321544"
"321538","321539"
"321538","321540"
"321538","321541"
"321538","321542"
"321547","321553"
"321547","321550"
"321547","321552"
"321547","321548"
"321547","321551"
"321547","321549"
"321557","321560"
"321557","321558"
"321557","321563"
"321557","321562"
"321557","321559"
"321557","321561"
"321566","321567"
"321566","321569"
"321566","321568"
"321573","321577"
"321573","321575"
"321573","321578"
"321573","321576"
"321573","321574"
"321573","321579"
"321582","321583"
"321582","321587"
"321582","321584"
"321582","321585"
"321582","321586"
"321582","321588"
"321591","321595"
"321591","321592"
"321591","321597"
"321591","321596"
"321591","321594"
"321591","321593"
"321601","321602"
"321601","321605"
"321601","321607"
"321601","321604"
"321601","321606"
"321601","321603"
"321612","321614"
"321612","321613"
"321612","321615"
"321618","321615"
"321618","321613"
"321618","321614"
"321621","321623"
"321621","321625"
"321621","321624"
"321621","321622"
"321628","321623"
"321628","321625"
"321628","321622"
"321628","321624"
"321631","321632"
"321631","321633"
"321631","321634"
"321631","321635"
"321638","321635"
"321638","321633"
"321638","321634"
"321638","321632"
"321641","321643"
"321641","321645"
"321641","321642"
"321641","321644"
"321648","321642"
"321648","321644"
"321648","321645"
"321648","321643"
"321651","321656"
"321651","321654"
"321651","321657"
"321651","321652"
"321651","321655"
"321651","321653"
"321674","321678"
"321674","321679"
"321674","321677"
"321674","321675"
"321674","321676"
"321693","321696"
"321693","321694"
"321693","321695"
"321693","321698"
"321693","321699"
"321693","321697"
"321718","321728"
"321718","321723"
"321718","321720"
"321718","321727"
"321718","321726"
"321718","321725"
"321718","321722"
"321718","321719"
"321718","321721"
"321718","321724"
"321746","321720"
"321746","321719"
"321746","321724"
"321746","321721"
"321746","321723"
"321746","321727"
"321746","321722"
"321746","321725"
"321746","321726"
"321746","321728"
"321763","321767"
"321763","321772"
"321763","321766"
"321763","321764"
"321763","321768"
"321763","321765"
"321763","321769"
"321763","321771"
"321763","321770"
"321791","321767"
"321791","321768"
"321791","321772"
"321791","321765"
"321791","321771"
"321791","321770"
"321791","321764"
"321791","321769"
"321791","321766"
"321810","321815"
"321810","321812"
"321810","321813"
"321810","321814"
"321810","321811"
"321810","321816"
"321829","321815"
"321829","321816"
"321829","321811"
"321829","321812"
"321829","321813"
"321829","321814"
"321845","321849"
"321845","321847"
"321845","321846"
"321845","321848"
"321863","321849"
"321863","321848"
"321863","321847"
"321863","321846"
"321880","321882"
"321880","321886"
"321880","321881"
"321880","321884"
"321880","321885"
"321880","321887"
"321880","321883"
"321901","321902"
"321907","321908"
"321913","321914"
"321920","321921"
"321940","321941"
"321959","321960"
"321978","321979"
"322001","322002"
"322020","322021"
"322043","322044"
"322049","322050"
"322055","322056"
"322061","322062"
"322067","322068"
"322073","322074"
"322079","322080"
"322085","322086"
"322105","322106"
"322128","322129"
"322150","322151"
"322173","322174"
"322182","322183"
"322188","322189"
"322207","322208"
"322229","322230"
"322236","322237"
"322243","322244"
"322249","322250"
"322268","322269"
"322287","322288"
"322306","322307"
"322329","322330"
"322349","322350"
"322373","322374"
"322379","322380"
"322386","322387"
"322392","322393"
"322398","322399"
"322404","322405"
"322410","322411"
"322416","322417"
"322439","322440"
"322448","322449"
"322471","322472"
"322492","322493"
"322514","322515"
"322520","322521"
"322539","322540"
"322560","322561"
"322566","322567"
"322588","322589"
"322612","322613"
"322628","322629"
"322647","322648"
"322666","322667"
"322689","322690"
"322696","322697"
"322702","322703"
"322708","322709"
"322715","322716"
"322721","322722"
"322727","322728"
"322734","322735"
"322740","322741"
"322763","322764"
"322769","322770"
"322793","322794"
"322814","322815"
"322836","322837"
"322842","322843"
"322851","322852"
"322871","322872"
"322893","322895"
"322893","322894"
"322899","322904"
"322899","322903"
"322899","322905"
"322899","322900"
"322899","322901"
"322899","322902"
"322910","322912"
"322910","322911"
"322910","322914"
"322910","322916"
"322910","322913"
"322910","322915"
"322920","322925"
"322920","322926"
"322920","322923"
"322920","322924"
"322920","322921"
"322920","322922"
"322937","322939"
"322937","322941"
"322937","322940"
"322937","322938"
"322937","322943"
"322937","322942"
"322955","322956"
"322955","322959"
"322955","322960"
"322955","322961"
"322955","322958"
"322955","322957"
"322965","322966"
"322965","322968"
"322965","322967"
"322972","322978"
"322972","322976"
"322972","322975"
"322972","322973"
"322972","322974"
"322972","322977"
"322992","322997"
"322992","322994"
"322992","322995"
"322992","322998"
"322992","322996"
"322992","322993"
"323010","323013"
"323010","323011"
"323010","323012"
"323010","323014"
"323027","323029"
"323027","323031"
"323027","323033"
"323027","323028"
"323027","323032"
"323027","323030"
"323044","323046"
"323044","323045"
"323044","323047"
"323044","323050"
"323044","323048"
"323044","323049"
"323054","323056"
"323054","323055"
"323054","323057"
"323054","323058"
"323069","323075"
"323069","323071"
"323069","323073"
"323069","323070"
"323069","323074"
"323069","323072"
"323085","323088"
"323085","323087"
"323085","323089"
"323085","323090"
"323085","323086"
"323085","323091"
"323095","323098"
"323095","323101"
"323095","323096"
"323095","323100"
"323095","323097"
"323095","323099"
"323105","323109"
"323105","323108"
"323105","323106"
"323105","323107"
"323122","323125"
"323122","323123"
"323122","323124"
"323122","323126"
"323129","323130"
"323129","323133"
"323129","323131"
"323129","323132"
"323137","323141"
"323137","323140"
"323137","323139"
"323137","323138"
"323146","323148"
"323146","323149"
"323146","323147"
"323146","323150"
"323161","323163"
"323161","323165"
"323161","323162"
"323161","323164"
"323178","323179"
"323178","323182"
"323178","323184"
"323178","323183"
"323178","323180"
"323178","323185"
"323178","323181"
"323189","323190"
"323189","323192"
"323189","323193"
"323189","323191"
"323205","323206"
"323205","323208"
"323205","323207"
"323205","323209"
"323212","323215"
"323212","323214"
"323212","323213"
"323212","323216"
"323212","323217"
"323212","323218"
"323230","323232"
"323230","323234"
"323230","323235"
"323230","323231"
"323230","323236"
"323230","323233"
"323250","323252"
"323250","323254"
"323250","323251"
"323250","323253"
"323265","323267"
"323265","323268"
"323265","323269"
"323265","323266"
"323280","323281"
"323280","323282"
"323295","323296"
"323295","323298"
"323295","323297"
"323304","323305"
"323304","323306"
"323311","323312"
"323311","323314"
"323311","323313"
"323326","323329"
"323326","323327"
"323326","323328"
"323342","323345"
"323342","323343"
"323342","323344"
"323361","323363"
"323361","323362"
"323361","323365"
"323361","323364"
"323370","323373"
"323370","323372"
"323370","323371"
"323378","323379"
"323378","323381"
"323378","323380"
"323378","323382"
"323393","323394"
"323393","323395"
"323393","323396"
"323393","323397"
"323408","323411"
"323408","323409"
"323408","323410"
"323425","323427"
"323425","323428"
"323425","323426"
"323445","323446"
"323445","323447"
"323451","323452"
"323451","323453"
"323458","323459"
"323458","323460"
"323473","323475"
"323473","323474"
"323490","323491"
"323490","323492"
"323506","323507"
"323513","323514"
"323520","323521"
"323527","323528"
"323534","323535"
"323541","323542"
"323548","323549"
"323555","323556"
"323562","323563"
"323569","323570"
"323576","323577"
"323583","323584"
"323590","323591"
"323597","323598"
"323605","323606"
"323610","323611"
"323616","323617"
"323622","323623"
"323627","323628"
"323634","323635"
"323641","323642"
"323646","323647"
"323651","323652"
"323657","323658"
"323663","323664"
"323669","323670"
"323674","323675"
"323679","323680"
"323685","323686"
"323692","323693"
"323698","323699"
"323705","323706"
"323711","323712"
"323718","323719"
"323724","323725"
"323730","323731"
"323736","323737"
"323742","323743"
"323748","323749"
"323754","323755"
"323760","323761"
"323767","323768"
"323774","323775"
"323780","323781"
"323787","323788"
"323794","323798"
"323794","323795"
"323794","323796"
"323794","323797"
"323802","323805"
"323802","323806"
"323802","323803"
"323802","323804"
"323810","323811"
"323810","323813"
"323810","323812"
"323810","323814"
"323818","323820"
"323818","323821"
"323818","323822"
"323818","323819"
"323826","323828"
"323826","323827"
"323826","323829"
"323833","323836"
"323833","323834"
"323833","323837"
"323833","323835"
"323841","323842"
"323841","323843"
"323847","323851"
"323847","323849"
"323847","323848"
"323847","323850"
"323855","323859"
"323855","323858"
"323855","323857"
"323855","323856"
"323863","323867"
"323863","323866"
"323863","323865"
"323863","323864"
"323871","323875"
"323871","323872"
"323871","323873"
"323871","323874"
"323879","323883"
"323879","323881"
"323879","323880"
"323879","323882"
"323887","323889"
"323887","323890"
"323887","323891"
"323887","323888"
"323896","323898"
"323896","323897"
"323896","323900"
"323896","323899"
"323905","323907"
"323905","323906"
"323905","323908"
"323905","323909"
"323914","323916"
"323914","323915"
"323914","323917"
"323914","323918"
"323931","323933"
"323931","323932"
"323931","323934"
"323931","323935"
"323947","323951"
"323947","323949"
"323947","323948"
"323947","323950"
"323963","323965"
"323963","323964"
"323963","323966"
"323963","323967"
"323972","323973"
"323972","323974"
"323972","323975"
"323988","323991"
"323988","323990"
"323988","323992"
"323988","323989"
"324003","324006"
"324003","324005"
"324003","324004"
"324003","324007"
"324012","324016"
"324012","324013"
"324012","324015"
"324012","324014"
"324021","324023"
"324021","324024"
"324021","324025"
"324021","324022"
"324039","324040"
"324039","324045"
"324039","324041"
"324039","324049"
"324039","324047"
"324039","324042"
"324039","324043"
"324039","324046"
"324039","324044"
"324039","324048"
"324053","324056"
"324053","324057"
"324053","324054"
"324053","324058"
"324053","324059"
"324053","324055"
"324071","324072"
"324071","324074"
"324071","324076"
"324071","324077"
"324071","324073"
"324071","324075"
"324091","324092"
"324091","324101"
"324091","324095"
"324091","324099"
"324091","324098"
"324091","324100"
"324091","324094"
"324091","324093"
"324091","324096"
"324091","324097"
"324113","324114"
"324113","324116"
"324113","324121"
"324113","324119"
"324113","324115"
"324113","324123"
"324113","324117"
"324113","324120"
"324113","324122"
"324113","324118"
"324135","324142"
"324135","324137"
"324135","324138"
"324135","324139"
"324135","324143"
"324135","324140"
"324135","324136"
"324135","324141"
"324158","324160"
"324158","324161"
"324158","324162"
"324158","324159"
"324165","324166"
"324165","324167"
"324170","324173"
"324170","324171"
"324170","324174"
"324170","324172"
"324177","324180"
"324177","324181"
"324177","324179"
"324177","324178"
"324195","324198"
"324195","324199"
"324195","324197"
"324195","324196"
"324214","324215"
"324214","324217"
"324214","324216"
"324214","324218"
"324233","324237"
"324233","324234"
"324233","324235"
"324233","324236"
"324252","324254"
"324252","324253"
"324252","324255"
"324252","324256"
"324259","324260"
"324259","324262"
"324259","324263"
"324259","324261"
"324278","324282"
"324278","324281"
"324278","324280"
"324278","324279"
"324297","324299"
"324297","324301"
"324297","324300"
"324297","324298"
"324318","324321"
"324318","324322"
"324318","324319"
"324318","324320"
"324325","324328"
"324325","324327"
"324325","324329"
"324325","324326"
"324332","324334"
"324332","324335"
"324332","324333"
"324332","324336"
"324339","324341"
"324339","324340"
"324339","324343"
"324339","324342"
"324352","324356"
"324352","324354"
"324352","324353"
"324352","324355"
"324359","324362"
"324359","324361"
"324359","324360"
"324359","324363"
"324366","324368"
"324366","324370"
"324366","324369"
"324366","324367"
"324383","324384"
"324383","324385"
"324383","324386"
"324383","324387"
"324401","324404"
"324401","324405"
"324401","324402"
"324401","324403"
"324414","324415"
"324414","324418"
"324414","324417"
"324414","324416"
"324421","324424"
"324421","324422"
"324421","324425"
"324421","324423"
"324438","324440"
"324438","324439"
"324438","324441"
"324438","324442"
"324445","324447"
"324445","324449"
"324445","324446"
"324445","324448"
"324452","324454"
"324452","324456"
"324452","324455"
"324452","324453"
"324459","324461"
"324459","324460"
"324472","324475"
"324472","324476"
"324472","324474"
"324472","324473"
"324485","324487"
"324485","324486"
"324485","324489"
"324485","324488"
"324502","324503"
"324502","324504"
"324508","324510"
"324508","324509"
"324514","324517"
"324514","324515"
"324514","324518"
"324514","324516"
"324529","324533"
"324529","324531"
"324529","324532"
"324529","324530"
"324537","324540"
"324537","324538"
"324537","324539"
"324537","324541"
"324545","324546"
"324545","324548"
"324545","324549"
"324545","324547"
"324553","324557"
"324553","324556"
"324553","324555"
"324553","324554"
"324561","324563"
"324561","324562"
"324567","324571"
"324567","324570"
"324567","324568"
"324567","324569"
"324575","324577"
"324575","324578"
"324575","324576"
"324582","324584"
"324582","324583"
"324582","324585"
"324582","324586"
"324590","324591"
"324590","324594"
"324590","324593"
"324590","324592"
"324598","324599"
"324598","324600"
"324598","324601"
"324598","324602"
"324606","324608"
"324606","324609"
"324606","324607"
"324613","324616"
"324613","324614"
"324613","324615"
"324613","324617"
"324621","324625"
"324621","324622"
"324621","324623"
"324621","324624"
"324629","324631"
"324629","324633"
"324629","324630"
"324629","324632"
"324637","324639"
"324637","324638"
"324637","324641"
"324637","324640"
"324645","324648"
"324645","324646"
"324645","324649"
"324645","324647"
"324654","324656"
"324654","324655"
"324654","324657"
"324661","324664"
"324661","324662"
"324661","324663"
"324668","324670"
"324668","324669"
"324683","324685"
"324683","324684"
"324689","324690"
"324689","324691"
"324689","324692"
"324689","324694"
"324689","324693"
"324689","324695"
"324710","324711"
"324710","324712"
"324726","324728"
"324726","324727"
"324732","324733"
"324732","324734"
"324748","324750"
"324748","324749"
"324754","324755"
"324754","324756"
"324760","324761"
"324760","324762"
"324766","324767"
"324766","324768"
"324781","324783"
"324781","324782"
"324798","324801"
"324798","324800"
"324798","324799"
"324805","324806"
"324805","324807"
"324822","324823"
"324822","324824"
"324838","324839"
"324838","324840"
"324853","324855"
"324853","324856"
"324853","324854"
"324861","324867"
"324861","324866"
"324861","324864"
"324861","324862"
"324861","324865"
"324861","324863"
"324871","324875"
"324871","324874"
"324871","324876"
"324871","324877"
"324871","324873"
"324871","324872"
"324881","324883"
"324881","324886"
"324881","324882"
"324881","324887"
"324881","324885"
"324881","324884"
"324891","324895"
"324891","324892"
"324891","324894"
"324891","324893"
"324891","324897"
"324891","324896"
"324913","324914"
"324913","324915"
"324913","324917"
"324913","324916"
"324921","324926"
"324921","324927"
"324921","324924"
"324921","324923"
"324921","324922"
"324921","324925"
"324940","324943"
"324940","324942"
"324940","324941"
"324940","324944"
"324960","324963"
"324960","324965"
"324960","324962"
"324960","324966"
"324960","324961"
"324960","324964"
"324970","324971"
"324970","324974"
"324970","324973"
"324970","324972"
"324989","324990"
"324989","324991"
"324989","324992"
"324989","324995"
"324989","324993"
"324989","324994"
"325007","325009"
"325007","325008"
"325007","325012"
"325007","325010"
"325007","325011"
"325007","325013"
"325017","325020"
"325017","325023"
"325017","325018"
"325017","325021"
"325017","325022"
"325017","325019"
"325037","325039"
"325037","325040"
"325037","325038"
"325046","325048"
"325046","325050"
"325046","325047"
"325046","325049"
"325061","325063"
"325061","325062"
"325061","325064"
"325061","325065"
"325075","325076"
"325075","325078"
"325075","325077"
"325075","325079"
"325096","325098"
"325096","325097"
"325101","325103"
"325101","325102"
"325107","325111"
"325107","325108"
"325107","325110"
"325107","325109"
"325114","325115"
"325114","325116"
"325119","325121"
"325119","325122"
"325119","325123"
"325119","325120"
"325129","325130"
"325129","325131"
"325133","325134"
"325133","325135"
"325138","325142"
"325138","325140"
"325138","325139"
"325138","325141"
"325148","325150"
"325148","325149"
"325153","325154"
"325153","325155"
"325157","325159"
"325157","325158"
"325161","325162"
"325164","325165"
"325164","325166"
"325169","325170"
"325169","325171"
"325173","325174"
"325173","325175"
"325177","325178"
"325177","325179"
"325181","325182"
"325181","325184"
"325181","325183"
"325186","325188"
"325186","325187"
"325190","325191"
"325190","325192"
"325194","325195"
"325194","325196"
"325199","325200"
"325203","325204"
"325203","325205"
"325208","325210"
"325208","325209"
"325219","325220"
"325224","325226"
"325224","325225"
"325236","325237"
"325236","325238"
"325248","325249"
"325252","325254"
"325252","325253"
"325263","325264"
"325263","325265"
"325276","325277"
"325276","325278"
"325288","325290"
"325288","325289"
"325305","325306"
"325305","325307"
"325305","325308"
"325323","325324"
"325323","325325"
"325341","325343"
"325341","325342"
"325341","325344"
"325360","325362"
"325360","325361"
"325360","325363"
"325378","325379"
"325378","325381"
"325378","325380"
"325396","325398"
"325396","325397"
"325396","325399"
"325413","325416"
"325413","325415"
"325413","325414"
"325431","325434"
"325431","325432"
"325431","325433"
"325431","325435"
"325431","325436"
"325439","325442"
"325439","325441"
"325439","325440"
"325439","325443"
"325439","325444"
"325439","325445"
"325449","325450"
"325449","325454"
"325449","325453"
"325449","325452"
"325449","325451"
"325449","325455"
"325460","325463"
"325460","325462"
"325460","325461"
"325460","325464"
"325479","325481"
"325479","325482"
"325479","325485"
"325479","325483"
"325479","325484"
"325479","325480"
"325479","325487"
"325479","325486"
"325502","325505"
"325502","325503"
"325502","325508"
"325502","325504"
"325502","325507"
"325502","325506"
"325525","325527"
"325525","325526"
"325525","325529"
"325525","325528"
"325533","325536"
"325533","325535"
"325533","325537"
"325533","325534"
"325541","325543"
"325541","325544"
"325541","325545"
"325541","325542"
"325549","325550"
"325549","325552"
"325549","325551"
"325559","325561"
"325559","325560"
"325559","325562"
"325559","325563"
"325572","325573"
"325572","325574"
"325572","325575"
"325572","325576"
"325580","325584"
"325580","325583"
"325580","325582"
"325580","325581"
"325598","325600"
"325598","325601"
"325598","325599"
"325598","325602"
"325609","325611"
"325609","325610"
"325624","325628"
"325624","325626"
"325624","325625"
"325624","325627"
"325641","325644"
"325641","325645"
"325641","325642"
"325641","325643"
"325659","325660"
"325659","325661"
"325669","325671"
"325669","325670"
"325679","325681"
"325679","325680"
"325689","325690"
"325698","325700"
"325698","325699"
"325708","325710"
"325708","325709"
"325718","325719"
"325725","325726"
"325732","325733"
"325739","325740"
"325746","325747"
"325753","325754"
"325760","325761"
"325767","325768"
"325774","325775"
"325781","325782"
"325788","325789"
"325795","325797"
"325795","325796"
"325810","325811"
"325810","325812"
"325825","325828"
"325825","325826"
"325825","325827"
"325841","325843"
"325841","325842"
"325856","325858"
"325856","325857"
"325872","325876"
"325872","325874"
"325872","325873"
"325872","325875"
"325881","325882"
"325881","325885"
"325881","325884"
"325881","325883"
"325891","325896"
"325891","325897"
"325891","325899"
"325891","325895"
"325891","325894"
"325891","325892"
"325891","325893"
"325891","325898"
"325910","325913"
"325910","325916"
"325910","325912"
"325910","325914"
"325910","325911"
"325910","325915"
"325929","325934"
"325929","325930"
"325929","325931"
"325929","325935"
"325929","325933"
"325929","325932"
"325948","325951"
"325948","325949"
"325948","325950"
"325948","325952"
"325956","325957"
"325956","325959"
"325956","325958"
"325956","325960"
"325970","325975"
"325970","325973"
"325970","325972"
"325970","325971"
"325970","325974"
"325970","325976"
"325993","325994"
"325998","325999"
"325998","326000"
"326004","326006"
"326004","326005"
"326010","326011"
"326010","326012"
"326024","326025"
"326024","326026"
"326030","326031"
"326030","326032"
"326051","326053"
"326051","326052"
"326057","326059"
"326057","326058"
"326076","326078"
"326076","326077"
"326082","326083"
"326082","326084"
"326100","326101"
"326100","326102"
"326114","326115"
"326114","326116"
"326136","326138"
"326136","326137"
"326141","326143"
"326141","326142"
"326146","326147"
"326146","326148"
"326151","326153"
"326151","326152"
"326165","326166"
"326165","326167"
"326180","326182"
"326180","326181"
"326197","326204"
"326197","326201"
"326197","326203"
"326197","326205"
"326197","326199"
"326197","326198"
"326197","326209"
"326197","326206"
"326197","326202"
"326197","326207"
"326197","326200"
"326197","326208"
"326217","326229"
"326217","326226"
"326217","326219"
"326217","326223"
"326217","326224"
"326217","326227"
"326217","326220"
"326217","326221"
"326217","326222"
"326217","326225"
"326217","326228"
"326217","326218"
"326237","326245"
"326237","326240"
"326237","326241"
"326237","326239"
"326237","326247"
"326237","326248"
"326237","326238"
"326237","326243"
"326237","326246"
"326237","326220"
"326237","326244"
"326237","326242"
"326265","326268"
"326265","326273"
"326265","326271"
"326265","326272"
"326265","326275"
"326265","326276"
"326265","326228"
"326265","326266"
"326265","326270"
"326265","326269"
"326265","326267"
"326265","326274"
"326285","326290"
"326285","326294"
"326285","326288"
"326285","326297"
"326285","326287"
"326285","326296"
"326285","326293"
"326285","326292"
"326285","326291"
"326285","326295"
"326285","326286"
"326285","326289"
"326314","326325"
"326314","326316"
"326314","326326"
"326314","326322"
"326314","326320"
"326314","326317"
"326314","326324"
"326314","326319"
"326314","326318"
"326314","326321"
"326314","326315"
"326314","326323"
"326333","326334"
"326333","326336"
"326333","326340"
"326333","326344"
"326333","326323"
"326333","326342"
"326333","326343"
"326333","326337"
"326333","326339"
"326333","326341"
"326333","326338"
"326333","326335"
"326351","326357"
"326351","326362"
"326351","326361"
"326351","326358"
"326351","326354"
"326351","326353"
"326351","326356"
"326351","326360"
"326351","326355"
"326351","326359"
"326351","326352"
"326380","326392"
"326380","326389"
"326380","326387"
"326380","326384"
"326380","326383"
"326380","326390"
"326380","326388"
"326380","326391"
"326380","326385"
"326380","326382"
"326380","326386"
"326380","326381"
"326399","326405"
"326399","326407"
"326399","326402"
"326399","326409"
"326399","326408"
"326399","326411"
"326399","326410"
"326399","326403"
"326399","326400"
"326399","326401"
"326399","326406"
"326399","326404"
"326427","326437"
"326427","326434"
"326427","326438"
"326427","326432"
"326427","326435"
"326427","326430"
"326427","326428"
"326427","326429"
"326427","326439"
"326427","326433"
"326427","326431"
"326427","326436"
"326459","326460"
"326459","326463"
"326459","326461"
"326459","326462"
"326466","326470"
"326466","326468"
"326466","326469"
"326466","326467"
"326473","326476"
"326473","326475"
"326473","326474"
"326473","326477"
"326480","326484"
"326480","326481"
"326480","326482"
"326480","326483"
"326487","326489"
"326487","326490"
"326487","326491"
"326487","326488"
"326494","326496"
"326494","326497"
"326494","326495"
"326494","326498"
"326510","326513"
"326510","326511"
"326510","326512"
"326510","326514"
"326529","326530"
"326529","326531"
"326529","326534"
"326529","326533"
"326529","326532"
"326537","326541"
"326537","326539"
"326537","326538"
"326537","326540"
"326558","326561"
"326558","326559"
"326558","326560"
"326558","326562"
"326572","326574"
"326572","326573"
"326572","326576"
"326572","326575"
"326591","326593"
"326591","326594"
"326591","326595"
"326591","326592"
"326605","326614"
"326605","326617"
"326605","326612"
"326605","326609"
"326605","326607"
"326605","326610"
"326605","326608"
"326605","326613"
"326605","326616"
"326605","326611"
"326605","326615"
"326605","326606"
"326636","326641"
"326636","326648"
"326636","326645"
"326636","326637"
"326636","326643"
"326636","326646"
"326636","326644"
"326636","326640"
"326636","326639"
"326636","326642"
"326636","326638"
"326636","326647"
"326667","326679"
"326667","326677"
"326667","326675"
"326667","326670"
"326667","326671"
"326667","326678"
"326667","326668"
"326667","326669"
"326667","326672"
"326667","326676"
"326667","326674"
"326667","326673"
"326699","326705"
"326699","326701"
"326699","326704"
"326699","326707"
"326699","326703"
"326699","326706"
"326699","326700"
"326699","326702"
"326724","326726"
"326724","326727"
"326724","326731"
"326724","326728"
"326724","326729"
"326724","326732"
"326724","326730"
"326724","326725"
"326749","326761"
"326749","326750"
"326749","326754"
"326749","326752"
"326749","326758"
"326749","326756"
"326749","326759"
"326749","326760"
"326749","326753"
"326749","326757"
"326749","326751"
"326749","326755"
"326780","326785"
"326780","326787"
"326780","326784"
"326780","326783"
"326780","326786"
"326780","326781"
"326780","326782"
"326780","326788"
"326806","326811"
"326806","326814"
"326806","326816"
"326806","326810"
"326806","326813"
"326806","326808"
"326806","326815"
"326806","326807"
"326806","326809"
"326806","326812"
"326832","326834"
"326832","326836"
"326832","326835"
"326832","326833"
"326854","326856"
"326854","326855"
"326854","326862"
"326854","326857"
"326854","326858"
"326854","326861"
"326854","326860"
"326854","326859"
"326880","326884"
"326880","326881"
"326880","326883"
"326880","326888"
"326880","326886"
"326880","326885"
"326880","326887"
"326880","326882"
"326906","326907"
"326906","326908"
"326906","326909"
"326918","326921"
"326918","326920"
"326918","326919"
"326938","326939"
"326938","326941"
"326938","326940"
"326959","326960"
"326959","326961"
"326959","326962"
"326978","326981"
"326978","326980"
"326978","326979"
"326999","327001"
"326999","327000"
"326999","327002"
"327019","327020"
"327019","327022"
"327019","327021"
"327030","327031"
"327030","327032"
"327047","327048"
"327047","327049"
"327047","327050"
"327065","327068"
"327065","327066"
"327065","327067"
"327085","327086"
"327085","327087"
"327085","327088"
"327105","327106"
"327105","327107"
"327105","327108"
"327124","327125"
"327124","327126"
"327124","327128"
"327124","327127"
"327142","327145"
"327142","327143"
"327142","327144"
"327160","327162"
"327160","327163"
"327160","327161"
"327179","327180"
"327179","327182"
"327179","327181"
"327199","327201"
"327199","327202"
"327199","327200"
"327217","327218"
"327217","327220"
