"id","fdc_id","name","pct_weight","is_refuse","gram_weight","data_points","min_year_acqured"
"56925","","Separable Lean","99.1","N","649.0","2",""
"56926","","Total gram weight","","N","656.0","2",""
"56927","","Bone and connective tissue","0.8","Y","5.8","2",""
"56928","","External fat","1.8","Y","12.9","2",""
"56929","","Handling loss","0.3","N","2.1","2",""
"56930","","Seam fat","0.0","Y","0.0","2",""
"56931","","Separable Lean","97.1","N","686.0","2",""
"56932","","Total gram weight","","N","706.0","2",""
"56933","","Bone and connective tissue","0.0","Y","0.0","2",""
"56934","","External fat","0.7","Y","4.9","2",""
"56935","","Handling loss","0.2","N","1.3","2",""
"56936","","Seam fat","0.0","Y","0.0","2",""
"56937","","Separable Lean","99.1","N","684.0","2",""
"56938","","Total gram weight","","N","691.0","2",""
"56939","","Bone and connective tissue","1.1","Y","8.2","2",""
"56940","","External fat","0.9","Y","6.3","2",""
"56941","","Handling loss","0.3","N","2.0","2",""
"56942","","Seam fat","0.0","Y","0.0","2",""
"56943","","Separable Lean","97.8","N","725.0","2",""
"56944","","Total gram weight","","N","741.0","2",""
"56945","","Bone and connective tissue","0.0","Y","0.0","2",""
"56946","","External fat","5.4","Y","36.8","2",""
"56947","","Handling loss","0.5","N","3.7","2",""
"56948","","Seam fat","0.0","Y","0.0","2",""
"56949","","Separable Lean","94.0","N","639.0","2",""
"56950","","Total gram weight","","N","679.0","2",""
"56951","","Bone and connective tissue","1.7","Y","9.1","2",""
"56952","","External fat","0.5","Y","2.5","2",""
"56953","","Handling loss","0.2","N","1.1","2",""
"56954","","Seam fat","0.0","Y","0.0","2",""
"56955","","Separable Lean","97.6","N","517.0","2",""
"56956","","Total gram weight","","N","529.0","2",""
"56957","","Bone and connective tissue","1.7","Y","9.4","2",""
"56958","","External fat","0.3","Y","1.7","2",""
"56959","","Handling loss","0.8","N","4.3","2",""
"56960","","Seam fat","0.0","Y","0.0","2",""
"56961","","Separable Lean","97.2","N","529.0","2",""
"56962","","Total gram weight","","N","544.0","2",""
"56963","","Bone and connective tissue","0.3","Y","0.5","6",""
"56964","","External fat","0.2","Y","0.3","6",""
"56965","","Handling loss","1.1","N","1.9","6",""
"56966","","Seam fat","0.0","Y","0.0","6",""
"56967","","Separable Lean","98.4","N","171.0","6",""
"56968","","Total gram weight","","N","174.0","6",""
"56969","","Separable Lean","97.2","N","121.0","6",""
"56970","","Total gram weight","","N","125.0","6",""
"56971","","Bone and connective tissue","0.9","Y","1.1","6",""
"56972","","External fat","0.4","Y","0.5","6",""
"56973","","Handling loss","1.6","N","2.0","6",""
"56974","","Seam fat","0.0","Y","0.0","6",""
"56975","","Bone and connective tissue","0.3","Y","0.5","6",""
"56976","","External fat","0.3","Y","0.5","6",""
"56977","","Handling loss","0.2","N","0.4","6",""
"56978","","Seam fat","0.2","Y","0.4","6",""
"56979","","Separable Lean","98.9","N","175.0","6",""
"56980","","Total gram weight","","N","177.0","6",""
"56981","","Bone and connective tissue","0.1","Y","0.1","6",""
"56982","","External fat","0.9","Y","1.2","6",""
"56983","","Handling loss","0.5","N","0.6","6",""
"56984","","Seam fat","0.7","Y","0.9","6",""
"56985","","Separable Lean","98.0","N","130.0","6",""
"56986","","Total gram weight","","N","132.0","6",""
"56987","","Bone and connective tissue","0.1","Y","0.1","6",""
"56988","","External fat","0.3","Y","0.4","6",""
"56989","","Handling loss","0.3","N","0.4","6",""
"56990","","Seam fat","0.3","Y","0.4","6",""
"56991","","Separable Lean","99.0","N","126.0","6",""
"56992","","Total gram weight","","N","128.0","6",""
"56993","","Bone and connective tissue","0.2","Y","0.3","6",""
"56994","","External fat","1.2","Y","1.7","6",""
"56995","","Handling loss","0.7","N","1.1","6",""
"56996","","Seam fat","0.0","Y","0.0","6",""
"56997","","Separable Lean","97.9","N","144.0","6",""
"56998","","Total gram weight","","N","147.0","6",""
"56999","","Bone and connective tissue","0.2","Y","0.2","6",""
"57000","","External fat","0.8","Y","1.0","6",""
"57001","","Handling loss","0.7","N","0.8","6",""
"57002","","Seam fat","0.0","Y","0.0","6",""
"57003","","Separable Lean","98.3","N","116.0","6",""
"57004","","Total gram weight","","N","118.0","6",""
"57005","","Bone and connective tissue","1.1","Y","2.1","6",""
"57006","","External fat","1.1","Y","2.1","6",""
"57007","","Handling loss","0.6","N","1.1","6",""
"57008","","Seam fat","0.0","Y","0.0","6",""
"57009","","Separable Lean","97.3","N","184.0","6",""
"57010","","Total gram weight","","N","189.0","6",""
"57011","","Bone and connective tissue","0.4","Y","0.8","6",""
"57012","","External fat","2.4","Y","4.6","6",""
"57013","","Handling loss","1.3","N","2.4","6",""
"57014","","Seam fat","0.0","Y","0.0","6",""
"57015","","Separable Lean","95.9","N","181.0","6",""
"57016","","Total gram weight","","N","189.0","6",""
"57017","","Total gram weight","","N","169.0","6",""
"57018","","Handling loss","0.2","N","0.3","6",""
"57019","","Seam fat","0.1","Y","0.1","6",""
"57020","","Separable Lean","97.9","N","166.0","6",""
"57021","","Bone and connective tissue","1.6","Y","2.7","6",""
"57022","","External fat","0.2","Y","0.4","6",""
"57023","","Bone and connective tissue","1.4","Y","2.2","6",""
"57024","","External fat","0.3","Y","0.4","6",""
"57025","","Handling loss","0.6","N","0.9","6",""
"57026","","Seam fat","0.0","Y","0.0","6",""
"57027","","Separable Lean","97.7","N","148.0","6",""
"57028","","Total gram weight","","N","152.0","6",""
"57035","","Handling loss","","N","6.7","1",""
"57036","","Skin and separable fat","","Y","16.0","1",""
"57037","","Bone and cartilage","","Y","51.5","1",""
"57038","","Edible portion","","N","87.6","1",""
"57039","","Total gram weight","","N","162.0","1",""
"57040","","Separable Lean","","N","87.6","1",""
"57041","","Edible portion","","N","84.6","1",""
"57042","","Handling loss","","N","8.2","1",""
"57043","","Skin and separable fat","","Y","16.3","1",""
"57044","","Bone and cartilage","","Y","58.3","1",""
"57045","","Total gram weight","","N","167.0","1",""
"57046","","Separable Lean","","N","84.6","1",""
"57047","","Edible portion","","N","74.1","1",""
"57048","","Handling loss","","N","4.7","1",""
"57049","","Skin and separable fat","","Y","9.2","1",""
"57050","","Bone and cartilage","","Y","46.7","1",""
"57051","","Total gram weight","","N","135.0","1",""
"57052","","Separable Lean","","N","74.1","1",""
"57053","","Edible portion","","N","63.2","1",""
"57054","","Handling loss","","N","3.7","1",""
"57055","","Skin and separable fat","","Y","7.9","1",""
"57056","","Bone and cartilage","","Y","30.6","1",""
"57057","","Total gram weight","","N","105.0","1",""
"57058","","Separable Lean","","N","63.2","1",""
"57059","","Handling loss","","N","3.7","1",""
"57060","","Skin and separable fat","","Y","12.2","1",""
"57061","","Bone and cartilage","","Y","47.6","1",""
"57062","","Edible portion","","N","79.4","1",""
"57063","","Total gram weight","","N","143.0","1",""
"57064","","Separable Lean","","N","79.4","1",""
"57065","","Handling loss","","N","3.6","1",""
"57066","","Skin and separable fat","","Y","9.2","1",""
"57067","","Bone and cartilage","","Y","34.9","1",""
"57068","","Edible portion","","N","67.0","1",""
"57069","","Total gram weight","","N","115.0","1",""
"57070","","Separable Lean","","N","67.0","1",""
"57071","","Edible portion","","N","82.7","1",""
"57072","","Handling loss","","N","4.2","1",""
"57073","","Skin and separable fat","","Y","12.9","1",""
"57074","","Bone and cartilage","","Y","49.1","1",""
"57075","","Total gram weight","","N","149.0","1",""
"57076","","Separable Lean","","N","82.7","1",""
"57077","","Handling loss","","N","6.8","1",""
"57078","","Skin and separable fat","","Y","16.3","1",""
"57079","","Bone and cartilage","","Y","59.8","1",""
"57080","","Edible portion","","N","77.5","1",""
"57081","","Total gram weight","","N","160.0","1",""
"57082","","Separable Lean","","N","77.5","1",""
"57083","","Handling loss","","N","3.2","1",""
"57084","","Skin and separable fat","","Y","10.8","1",""
"57085","","Bone and cartilage","","Y","33.7","1",""
"57086","","Edible portion","","N","63.0","1",""
"57087","","Total gram weight","","N","111.0","1",""
"57088","","Separable Lean","","N","63.0","1",""
"57089","","Handling loss","","N","3.3","1",""
"57090","","Skin and separable fat","","Y","8.4","1",""
"57091","","Bone and cartilage","","Y","35.6","1",""
"57092","","Edible portion","","N","60.4","1",""
"57093","","Total gram weight","","N","108.0","1",""
"57094","","Separable Lean","","N","60.4","1",""
"57095","","Handling loss","","N","3.7","1",""
"57096","","Skin and separable fat","","Y","13.3","1",""
"57097","","Bone and cartilage","","Y","45.8","1",""
"57098","","Edible portion","","N","83.3","1",""
"57099","","Total gram weight","","N","146.0","1",""
"57100","","Separable Lean","","N","83.3","1",""
"57101","","Handling loss","","N","3.1","1",""
"57102","","Skin and separable fat","","Y","7.1","1",""
"57103","","Bone and cartilage","","Y","34.6","1",""
"57104","","Edible portion","","N","57.6","1",""
"57105","","Total gram weight","","N","102.0","1",""
"57106","","Separable Lean","","N","57.6","1",""
"57107","","Edible portion","","N","88.7","1",""
"57108","","Handling loss","","N","3.6","1",""
"57109","","Skin and separable fat","","Y","18.1","1",""
"57110","","Bone and cartilage","","Y","47.6","1",""
"57111","","Total gram weight","","N","158.0","1",""
"57112","","Separable Lean","","N","88.7","1",""
"57113","","Handling loss","","N","2.6","1",""
"57114","","Skin and separable fat","","Y","5.9","1",""
"57115","","Bone and cartilage","","Y","31.1","1",""
"57116","","Edible portion","","N","54.4","1",""
"57117","","Total gram weight","","N","94.0","1",""
"57118","","Separable Lean","","N","54.4","1",""
"57119","","Handling loss","","N","3.8","1",""
"57120","","Skin and separable fat","","Y","9.9","1",""
"57121","","Bone and cartilage","","Y","32.6","1",""
"57122","","Edible portion","","N","72.7","1",""
"57123","","Total gram weight","","N","119.0","1",""
"57124","","Separable Lean","","N","72.7","1",""
"57125","","Edible portion","","N","95.2","1",""
"57126","","Handling loss","","N","4.0","1",""
"57127","","Skin and separable fat","","Y","12.2","1",""
"57128","","Bone and cartilage","","Y","48.6","1",""
"57129","","Total gram weight","","N","160.0","1",""
"57130","","Separable Lean","","N","95.2","1",""
"57131","","Edible portion","","N","83.5","1",""
"57132","","Handling loss","","N","2.9","1",""
"57133","","Skin and separable fat","","Y","10.4","1",""
"57134","","Bone and cartilage","","Y","43.4","1",""
"57135","","Total gram weight","","N","140.0","1",""
"57136","","Separable Lean","","N","83.5","1",""
"57137","","Handling loss","","N","4.2","1",""
"57138","","Skin and separable fat","","Y","11.3","1",""
"57139","","Bone and cartilage","","Y","39.5","1",""
"57140","","Edible portion","","N","67.4","1",""
"57141","","Total gram weight","","N","122.0","1",""
"57142","","Separable Lean","","N","67.4","1",""
"57143","","Edible portion","","N","81.8","1",""
"57144","","Handling loss","","N","1.9","1",""
"57145","","Skin and separable fat","","Y","11.5","1",""
"57146","","Bone and cartilage","","Y","46.7","1",""
"57147","","Total gram weight","","N","142.0","1",""
"57148","","Separable Lean","","N","81.8","1",""
"57149","","Edible portion","","N","80.2","1",""
"57150","","Handling loss","","N","3.3","1",""
"57151","","Skin and separable fat","","Y","11.2","1",""
"57152","","Bone and cartilage","","Y","33.1","1",""
"57153","","Total gram weight","","N","128.0","1",""
"57154","","Separable Lean","","N","80.2","1",""
"57155","","Handling loss","","N","5.6","1",""
"57156","","Skin and separable fat","","Y","12.7","1",""
"57157","","Bone and cartilage","","Y","40.6","1",""
"57158","","Edible portion","","N","72.5","1",""
"57159","","Total gram weight","","N","131.0","1",""
"57160","","Separable Lean","","N","72.5","1",""
"57161","","Handling loss","","N","5.1","1",""
"57162","","Skin and separable fat","","Y","9.8","1",""
"57163","","Bone and cartilage","","Y","47.2","1",""
"57164","","Edible portion","","N","65.6","1",""
"57165","","Total gram weight","","N","128.0","1",""
"57166","","Separable Lean","","N","65.6","1",""
"57167","","Handling loss","","N","4.6","1",""
"57168","","Skin and separable fat","","Y","17.9","1",""
"57169","","Bone and cartilage","","Y","57.8","1",""
"57170","","Edible portion","","N","84.5","1",""
"57171","","Total gram weight","","N","165.0","1",""
"57172","","Separable Lean","","N","84.5","1",""
"57173","","Handling loss","","N","4.8","1",""
"57174","","Skin and separable fat","","Y","10.5","1",""
"57175","","Bone and cartilage","","Y","45.2","1",""
"57176","","Edible portion","","N","81.4","1",""
"57177","","Total gram weight","","N","142.0","1",""
"57178","","Separable Lean","","N","81.4","1",""
"57179","","Handling loss","","N","2.8","1",""
"57180","","Skin and separable fat","","Y","8.2","1",""
"57181","","Bone and cartilage","","Y","30.9","1",""
"57182","","Edible portion","","N","52.7","1",""
"57183","","Total gram weight","","N","94.6","1",""
"57184","","Separable Lean","","N","52.7","1",""
"57185","","Handling loss","","N","7.4","1",""
"57186","","Skin and separable fat","","Y","9.5","1",""
"57187","","Bone and cartilage","","Y","45.3","1",""
"57188","","Edible portion","","N","76.8","1",""
"57189","","Total gram weight","","N","139.0","1",""
"57190","","Separable Lean","","N","76.8","1",""
"57191","","Edible portion","","N","99.7","1",""
"57192","","Handling loss","","N","5.8","1",""
"57193","","Skin and separable fat","","Y","27.6","1",""
"57194","","Bone and cartilage","","Y","68.0","1",""
"57195","","Total gram weight","","N","201.0","1",""
"57196","","Separable Lean","","N","99.7","1",""
"57197","","Edible portion","","N","75.1","1",""
"57198","","Handling loss","","N","3.9","1",""
"57199","","Skin and separable fat","","Y","10.6","1",""
"57200","","Bone and cartilage","","Y","45.0","1",""
"57201","","Total gram weight","","N","135.0","1",""
"57202","","Separable Lean","","N","75.1","1",""
"57203","","Handling loss","","N","8.9","1",""
"57204","","Skin and separable fat","","Y","6.1","1",""
"57205","","Bone and cartilage","","Y","45.7","1",""
"57206","","Edible portion","","N","69.5","1",""
"57207","","Total gram weight","","N","130.0","1",""
"57208","","Separable Lean","","N","69.5","1",""
"57209","","Handling loss","","N","5.2","1",""
"57210","","Skin and separable fat","","Y","11.5","1",""
"57211","","Bone and cartilage","","Y","46.7","1",""
"57212","","Edible portion","","N","76.7","1",""
"57213","","Total gram weight","","N","140.0","1",""
"57214","","Separable Lean","","N","76.7","1",""
"57215","","Edible portion","","N","59.1","1",""
"57216","","Handling loss","","N","2.9","1",""
"57217","","Skin and separable fat","","Y","9.9","1",""
"57218","","Bone and cartilage","","Y","41.0","1",""
"57219","","Total gram weight","","N","113.0","1",""
"57220","","Separable Lean","","N","59.1","1",""
"57221","","Handling loss","","N","3.9","1",""
"57222","","Skin and separable fat","","Y","7.9","1",""
"57223","","Bone and cartilage","","Y","37.0","1",""
"57224","","Edible portion","","N","57.8","1",""
"57225","","Total gram weight","","N","107.0","1",""
"57226","","Separable Lean","","N","57.8","1",""
"57227","","Handling loss","","N","3.7","1",""
"57228","","Skin and separable fat","","Y","9.6","1",""
"57229","","Bone and cartilage","","Y","36.9","1",""
"57230","","Edible portion","","N","62.8","1",""
"57231","","Total gram weight","","N","113.0","1",""
"57232","","Separable Lean","","N","62.8","1",""
"57233","","Handling loss","","N","3.5","1",""
"57234","","Skin and separable fat","","Y","11.1","1",""
"57235","","Bone and cartilage","","Y","50.0","1",""
"57236","","Edible portion","","N","88.2","1",""
"57237","","Total gram weight","","N","153.0","1",""
"57238","","Separable Lean","","N","88.2","1",""
"57239","","Handling loss","","N","2.8","1",""
"57240","","Skin and separable fat","","Y","11.7","1",""
"57241","","Bone and cartilage","","Y","43.8","1",""
"57242","","Edible portion","","N","72.8","1",""
"57243","","Total gram weight","","N","131.0","1",""
"57244","","Separable Lean","","N","72.8","1",""
"57245","","Handling loss","","N","3.9","1",""
"57246","","Skin and separable fat","","Y","13.1","1",""
"57247","","Bone and cartilage","","Y","43.1","1",""
"57248","","Edible portion","","N","70.0","1",""
"57249","","Total gram weight","","N","130.0","1",""
"57250","","Separable Lean","","N","70.0","1",""
"57251","","Handling loss","","N","5.1","1",""
"57252","","Skin and separable fat","","Y","11.1","1",""
"57253","","Bone and cartilage","","Y","35.5","1",""
"57254","","Edible portion","","N","63.0","1",""
"57255","","Total gram weight","","N","115.0","1",""
"57256","","Separable Lean","","N","63.0","1",""
"57257","","Handling loss","","N","4.6","1",""
"57258","","Skin and separable fat","","Y","13.1","1",""
"57259","","Bone and cartilage","","Y","42.9","1",""
"57260","","Edible portion","","N","66.1","1",""
"57261","","Total gram weight","","N","127.0","1",""
"57262","","Separable Lean","","N","66.1","1",""
"57263","","Handling loss","","N","2.4","1",""
"57264","","Skin and separable fat","","Y","13.2","1",""
"57265","","Bone and cartilage","","Y","53.8","1",""
"57266","","Edible portion","","N","87.2","1",""
"57267","","Total gram weight","","N","157.0","1",""
"57268","","Separable Lean","","N","87.2","1",""
"57269","","Edible portion","","N","62.8","1",""
"57270","","Handling loss","","N","10.1","1",""
"57271","","Skin and separable fat","","Y","7.1","1",""
"57272","","Bone and cartilage","","Y","52.6","1",""
"57273","","Total gram weight","","N","133.0","1",""
"57274","","Separable Lean","","N","62.8","1",""
"57275","","Handling loss","","N","5.7","1",""
"57276","","Skin and separable fat","","Y","16.4","1",""
"57277","","Bone and cartilage","","Y","46.3","1",""
"57278","","Edible portion","","N","86.1","1",""
"57279","","Total gram weight","","N","154.0","1",""
"57280","","Separable Lean","","N","86.1","1",""
"57281","","Handling loss","","N","4.3","1",""
"57282","","Skin and separable fat","","Y","9.0","1",""
"57283","","Bone and cartilage","","Y","36.1","1",""
"57284","","Edible portion","","N","63.5","1",""
"57285","","Total gram weight","","N","113.0","1",""
"57286","","Separable Lean","","N","63.5","1",""
"57287","","Edible portion","","N","72.4","1",""
"57288","","Handling loss","","N","5.0","1",""
"57289","","Skin and separable fat","","Y","10.8","1",""
"57290","","Bone and cartilage","","Y","52.5","1",""
"57291","","Total gram weight","","N","141.0","1",""
"57292","","Separable Lean","","N","72.4","1",""
"57293","","Edible portion","","N","78.1","1",""
"57294","","Handling loss","","N","2.4","1",""
"57295","","Skin and separable fat","","Y","14.3","1",""
"57296","","Bone and cartilage","","Y","51.4","1",""
"57297","","Total gram weight","","N","146.0","1",""
"57298","","Separable Lean","","N","78.1","1",""
"57299","","Edible portion","","N","74.6","1",""
"57300","","Handling loss","","N","2.2","1",""
"57301","","Skin and separable fat","","Y","15.2","1",""
"57302","","Bone and cartilage","","Y","42.3","1",""
"57303","","Total gram weight","","N","134.0","1",""
"57304","","Separable Lean","","N","74.6","1",""
"57305","","Handling loss","","N","4.6","1",""
"57306","","Skin and separable fat","","Y","7.7","1",""
"57307","","Bone and cartilage","","Y","38.8","1",""
"57308","","Edible portion","","N","69.0","1",""
"57309","","Total gram weight","","N","120.0","1",""
"57310","","Separable Lean","","N","69.0","1",""
"57311","","Handling loss","","N","4.7","1",""
"57312","","Skin and separable fat","","Y","10.5","1",""
"57313","","Bone and cartilage","","Y","45.5","1",""
"57314","","Edible portion","","N","66.2","1",""
"57315","","Total gram weight","","N","127.0","1",""
"57316","","Separable Lean","","N","66.2","1",""
"57317","","Handling loss","","N","5.9","1",""
"57318","","Skin and separable fat","","Y","12.1","1",""
"57319","","Bone and cartilage","","Y","50.6","1",""
"57320","","Edible portion","","N","90.0","1",""
"57321","","Total gram weight","","N","159.0","1",""
"57322","","Separable Lean","","N","90.0","1",""
"57323","","Handling loss","","N","4.3","1",""
"57324","","Skin and separable fat","","Y","12.2","1",""
"57325","","Bone and cartilage","","Y","32.4","1",""
"57326","","Edible portion","","N","82.3","1",""
"57327","","Total gram weight","","N","131.0","1",""
"57328","","Separable Lean","","N","82.3","1",""
"57329","","Handling loss","","N","4.9","1",""
"57330","","Skin and separable fat","","Y","5.5","1",""
"57331","","Bone and cartilage","","Y","34.3","1",""
"57332","","Edible portion","","N","40.8","1",""
"57333","","Total gram weight","","N","85.5","1",""
"57334","","Separable Lean","","N","40.8","1",""
"57335","","Skin and separable fat","","Y","7.0","1",""
"57336","","Total gram weight","","N","118.0","1",""
"57337","","Edible portion","","N","72.1","1",""
"57338","","Bone and cartilage","","Y","37.9","1",""
"57339","","Separable Lean","","N","72.1","1",""
"57340","","Handling loss","","N","1.3","1",""
"57341","","Total gram weight","","N","90.5","1",""
"57342","","Edible portion","","N","52.1","1",""
"57343","","Bone and cartilage","","Y","28.8","1",""
"57344","","Separable Lean","","N","52.1","1",""
"57345","","Handling loss","","N","2.9","1",""
"57346","","Skin and separable fat","","Y","6.7","1",""
"57347","","Total gram weight","","N","100.0","1",""
"57348","","Edible portion","","N","62.3","1",""
"57349","","Bone and cartilage","","Y","29.7","1",""
"57350","","Separable Lean","","N","62.3","1",""
"57351","","Handling loss","","N","2.3","1",""
"57352","","Skin and separable fat","","Y","5.8","1",""
"57353","","Skin and separable fat","","Y","14.5","1",""
"57354","","Total gram weight","","N","133.0","1",""
"57355","","Edible portion","","N","74.6","1",""
"57356","","Bone and cartilage","","Y","42.3","1",""
"57357","","Separable Lean","","N","74.6","1",""
"57358","","Handling loss","","N","1.5","1",""
"57359","","Skin and separable fat","","Y","5.8","1",""
"57360","","Total gram weight","","N","82.1","1",""
"57361","","Edible portion","","N","45.3","1",""
"57362","","Bone and cartilage","","Y","29.7","1",""
"57363","","Separable Lean","","N","45.3","1",""
"57364","","Handling loss","","N","1.3","1",""
"57365","","Total gram weight","","N","115.0","1",""
"57366","","Edible portion","","N","64.2","1",""
"57367","","Bone and cartilage","","Y","40.5","1",""
"57368","","Separable Lean","","N","64.2","1",""
"57369","","Handling loss","","N","2.3","1",""
"57370","","Skin and separable fat","","Y","8.0","1",""
"57371","","Total gram weight","","N","112.0","1",""
"57372","","Separable Lean","","N","64.2","1",""
"57373","","Handling loss","","N","1.6","1",""
"57374","","Edible portion","","N","64.2","1",""
"57375","","Bone and cartilage","","Y","40.0","1",""
"57376","","Skin and separable fat","","Y","6.6","1",""
"57377","","Total gram weight","","N","101.0","1",""
"57378","","Edible portion","","N","56.7","1",""
"57379","","Bone and cartilage","","Y","34.7","1",""
"57380","","Separable Lean","","N","56.7","1",""
"57381","","Handling loss","","N","1.9","1",""
"57382","","Skin and separable fat","","Y","7.4","1",""
"57383","","Skin and separable fat","","Y","11.2","1",""
"57384","","Total gram weight","","N","135.0","1",""
"57385","","Edible portion","","N","76.5","1",""
"57386","","Bone and cartilage","","Y","45.1","1",""
"57387","","Separable Lean","","N","76.5","1",""
"57388","","Handling loss","","N","2.0","1",""
"57389","","Total gram weight","","N","131.0","1",""
"57390","","Edible portion","","N","73.4","1",""
"57391","","Bone and cartilage","","Y","41.5","1",""
"57392","","Separable Lean","","N","73.4","1",""
"57393","","Handling loss","","N","3.0","1",""
"57394","","Skin and separable fat","","Y","12.8","1",""
"57395","","Skin and separable fat","","Y","9.5","1",""
"57396","","Total gram weight","","N","131.0","1",""
"57397","","Edible portion","","N","74.2","1",""
"57398","","Bone and cartilage","","Y","47.0","1",""
"57399","","Separable Lean","","N","74.2","1",""
"57400","","Handling loss","","N","0.7","1",""
"57401","","Skin and separable fat","","Y","7.7","1",""
"57402","","Total gram weight","","N","102.0","1",""
"57403","","Edible portion","","N","63.1","1",""
"57404","","Bone and cartilage","","Y","30.7","1",""
"57405","","Separable Lean","","N","63.1","1",""
"57406","","Handling loss","","N","0.9","1",""
"57407","","Total gram weight","","N","85.7","1",""
"57408","","Edible portion","","N","53.9","1",""
"57409","","Bone and cartilage","","Y","25.0","1",""
"57410","","Separable Lean","","N","53.9","1",""
"57411","","Handling loss","","N","2.7","1",""
"57412","","Skin and separable fat","","Y","4.1","1",""
"57413","","Total gram weight","","N","119.0","1",""
"57414","","Edible portion","","N","70.2","1",""
"57415","","Bone and cartilage","","Y","38.3","1",""
"57416","","Separable Lean","","N","70.2","1",""
"57417","","Handling loss","","N","1.2","1",""
"57418","","Skin and separable fat","","Y","9.0","1",""
"57419","","Skin and separable fat","","Y","5.5","1",""
"57420","","Total gram weight","","N","60.7","1",""
"57421","","Edible portion","","N","36.2","1",""
"57422","","Bone and cartilage","","Y","18.4","1",""
"57423","","Separable Lean","","N","36.2","1",""
"57424","","Handling loss","","N","0.6","1",""
"57425","","Total gram weight","","N","96.4","1",""
"57426","","Edible portion","","N","54.8","1",""
"57427","","Bone and cartilage","","Y","32.7","1",""
"57428","","Separable Lean","","N","54.8","1",""
"57429","","Handling loss","","N","1.6","1",""
"57430","","Skin and separable fat","","Y","7.3","1",""
"57431","","Skin and separable fat","","Y","11.0","1",""
"57432","","Total gram weight","","N","115.0","1",""
"57433","","Edible portion","","N","71.9","1",""
"57434","","Bone and cartilage","","Y","31.0","1",""
"57435","","Separable Lean","","N","71.9","1",""
"57436","","Handling loss","","N","1.2","1",""
"57437","","Total gram weight","","N","105.0","1",""
"57438","","Edible portion","","N","61.3","1",""
"57439","","Bone and cartilage","","Y","33.0","1",""
"57440","","Separable Lean","","N","61.3","1",""
"57441","","Handling loss","","N","0.9","1",""
"57442","","Skin and separable fat","","Y","9.6","1",""
"57443","","Bone and cartilage","","Y","37.3","1",""
"57444","","Total gram weight","","N","99.1","1",""
"57445","","Separable Lean","","N","53.9","1",""
"57446","","Handling loss","","N","2.0","1",""
"57447","","Edible portion","","N","53.9","1",""
"57448","","Skin and separable fat","","Y","5.9","1",""
"57449","","Skin and separable fat","","Y","6.6","1",""
"57450","","Total gram weight","","N","97.0","1",""
"57451","","Edible portion","","N","55.3","1",""
"57452","","Bone and cartilage","","Y","33.3","1",""
"57453","","Separable Lean","","N","55.3","1",""
"57454","","Handling loss","","N","1.8","1",""
"57455","","Total gram weight","","N","85.9","1",""
"57456","","Bone and cartilage","","Y","33.5","1",""
"57457","","Separable Lean","","N","46.6","1",""
"57458","","Handling loss","","N","1.5","1",""
"57459","","Edible portion","","N","46.6","1",""
"57460","","Skin and separable fat","","Y","4.3","1",""
"57461","","Total gram weight","","N","126.0","1",""
"57462","","Edible portion","","N","66.9","1",""
"57463","","Bone and cartilage","","Y","46.2","1",""
"57464","","Separable Lean","","N","66.9","1",""
"57465","","Handling loss","","N","2.6","1",""
