"fdc_id","acquisition_date","market_class","treatment","state"
"335635","2016-11-11","Pinto","Control","CO"
"335636","2016-11-11","Pinto","Control","CO"
"335637","2016-11-11","Pinto","Control","CO"
"335638","2016-11-11","Pinto","Control","CO"
"335639","2016-11-11","Pinto","Control","CO"
"335640","2016-11-11","Pinto","Control","CO"
"335641","2016-11-11","Pinto","Control","CO"
"335642","2016-11-11","Pinto","Control","CO"
"335643","2016-11-11","Pinto","Control","CO"
"335644","2016-11-11","Pinto","Control","CO"
"335645","2016-11-11","Pinto","Control","CO"
"335646","2016-11-11","Pinto","Control","CO"
"335647","2016-11-11","Pinto","Control","CO"
"335648","2016-11-11","Pinto","Control","CO"
"335649","2016-11-11","Pinto","Control","CO"
"335650","2016-11-11","Pinto","Control","CO"
"335651","2016-11-11","Pinto","Control","CO"
"335652","2016-11-11","Pinto","Control","CO"
"335653","2016-11-11","Pinto","Control","CO"
"335654","2016-11-11","Pinto","Control","CO"
"335655","2016-11-11","Pinto","Control","CO"
"335656","2016-11-11","Pinto","Control","CO"
"335657","2016-11-11","Pinto","Control","CO"
"335658","2016-11-11","Pinto","Control","CO"
"335659","2016-11-11","Pinto","Control","CO"
"335660","2016-11-11","Pinto","Control","CO"
"335661","2016-11-11","Pinto","Control","CO"
"335662","2016-11-11","Pinto","Control","CO"
"335663","2016-11-11","Pinto","Control","CO"
"335664","2016-11-11","Pinto","Control","CO"
"335665","2016-11-11","Pinto","Control","CO"
"335666","2016-11-11","Pinto","Control","CO"
"335667","2016-11-11","Pinto","Control","CO"
"335668","2016-11-11","Pinto","Control","CO"
"335669","2016-11-11","Pinto","Control","CO"
"335670","2016-11-11","Pinto","Control","CO"
"335671","2016-11-11","Pinto","Control","CO"
"335672","2016-11-11","Pinto","Control","CO"
"335673","2016-11-11","Pinto","Control","CO"
"335674","2016-11-11","Pinto","Control","CO"
"335675","2016-11-11","Pinto","Control","CO"
"335676","2016-11-11","Pinto","Control","CO"
"335677","2016-11-11","Pinto","Control","CO"
"335678","2016-11-11","Pinto","Control","CO"
"335679","2016-11-11","Pinto","Control","CO"
"335680","2016-11-11","Pinto","Control","CO"
"335681","2016-11-11","Pinto","Control","CO"
"335682","2016-11-11","Pinto","Control","CO"
"335683","2016-11-11","Pinto","Control","CO"
"335684","2016-11-11","Pinto","Control","CO"
"335685","2016-11-11","Pinto","Control","CO"
"335686","2016-11-11","Pinto","Control","CO"
"335687","2016-11-11","Pinto","Control","CO"
"335688","2016-11-11","Pinto","Control","CO"
"335689","2016-11-11","Pinto","Control","CO"
"335690","2016-11-11","Pinto","Control","CO"
"335691","2016-11-11","Pinto","Control","CO"
"335692","2016-11-11","Pinto","Control","CO"
"335693","2016-11-11","Pinto","Control","CO"
"335694","2016-11-11","Pinto","Control","CO"
"335696","2016-11-11","Small Red","Control","PR"
"335697","2016-11-11","Small Red","Control","PR"
"335698","2016-11-11","Small Red","Control","PR"
"335699","2016-11-11","Small Red","Control","PR"
"335700","2016-11-11","Small Red","Control","PR"
"335701","2016-11-11","Small Red","Control","PR"
"335702","2016-11-11","Small Red","Control","PR"
"335703","2016-11-11","Small Red","Control","PR"
"335704","2016-11-11","Small Red","Control","PR"
"335705","2016-11-11","Small Red","Control","PR"
"335706","2016-11-11","Small Red","Control","PR"
"335707","2016-11-11","Small Red","Control","PR"
"335708","2016-11-11","Small Red","Control","PR"
"335709","2016-11-11","Small Red","Control","PR"
"335710","2016-11-11","Small Red","Control","PR"
"335711","2016-11-11","Small Red","Control","PR"
"335712","2016-11-11","Small Red","Control","PR"
"335713","2016-11-11","Small Red","Control","PR"
"335714","2016-11-11","Small Red","Control","CO"
"335715","2016-11-11","Small Red","Control","CO"
"335716","2016-11-11","Small Red","Control","CO"
"335717","2016-11-11","Small Red","Control","CO"
"335718","2016-11-11","Small Red","Control","CO"
"335719","2016-11-11","Small Red","Control","CO"
"335720","2016-11-11","Small Red","Control","CO"
"335721","2016-11-11","Small Red","Control","CO"
"335722","2016-11-11","Small Red","Control","CO"
"335723","2016-11-11","Small Red","Control","CO"
"335724","2016-11-11","Small Red","Control","CO"
"335725","2016-11-11","Small Red","Control","CO"
"335726","2016-11-11","Small Red","Control","CO"
"335727","2016-11-11","Small Red","Control","CO"
"335728","2016-11-11","Small Red","Control","CO"
"335729","2016-11-11","Small Red","Control","CO"
"335730","2016-11-11","Small Red","Control","CO"
"335731","2016-11-11","Small Red","Control","CO"
"335732","2016-11-11","Small Red","Control","CO"
"335733","2016-11-11","Small Red","Control","CO"
"335734","2016-11-11","Small Red","Control","CO"
"335735","2016-11-11","Small Red","Control","CO"
"335736","2016-11-11","Small Red","Control","CO"
"335737","2016-11-11","Small Red","Control","CO"
"335738","2016-11-11","Small Red","Control","CO"
"335739","2016-11-11","Small Red","Control","CO"
"335740","2016-11-11","Small Red","Control","CO"
"335741","2016-11-11","Small Red","Control","CO"
"335742","2016-11-11","Small Red","Control","CO"
"335743","2016-11-11","Small Red","Control","CO"
"335744","2016-11-11","Small Red","Control","CO"
"335745","2016-11-11","Small Red","Control","CO"
"335746","2016-11-11","Small Red","Control","CO"
"335747","2016-11-11","Small Red","Control","CO"
"335748","2016-11-11","Small Red","Control","CO"
"335749","2016-11-11","Small Red","Control","CO"
"335750","2016-11-11","Small Red","Control","CO"
"335751","2016-11-11","Small Red","Control","CO"
"335752","2016-11-11","Small Red","Control","CO"
"335753","2016-11-11","Small Red","Control","CO"
"335754","2016-11-11","Small Red","Control","CO"
"335755","2016-11-11","Small Red","Control","CO"
"335756","2016-11-11","Small Red","Control","CO"
"335757","2016-11-11","Small Red","Control","CO"
"335758","2016-11-11","Small Red","Control","CO"
"335759","2016-11-11","Small Red","Control","CO"
"335760","2016-11-11","Small Red","Control","CO"
"335761","2016-11-11","Small Red","Control","CO"
"335762","2016-11-11","Small Red","Control","CO"
"335763","2016-11-11","Small Red","Control","CO"
"335764","2016-11-11","Small Red","Control","CO"
"335765","2016-11-11","Small Red","Control","CO"
"335766","2016-11-11","Small Red","Control","CO"
"335767","2016-11-11","Small Red","Control","CO"
"335768","2016-11-11","Small Red","Control","CO"
"335769","2016-11-11","Small Red","Control","CO"
"335770","2016-11-11","Small Red","Control","CO"
"335771","2016-11-11","Small Red","Control","CO"
"335772","2016-11-11","Small Red","Control","CO"
"335773","2016-11-11","Small Red","Control","CO"
"335775","2016-11-11","Medium Red","Control","CO"
"335776","2016-11-11","Medium Red","Control","CO"
"335778","2016-11-11","Cranberry","Control","PR"
"335779","2016-11-11","Cranberry","Control","PR"
"335780","2016-11-11","Cranberry","Control","CO"
"335781","2016-11-11","Cranberry","Control","CO"
"335783","2016-11-11","Light Tan","Control","PR"
"335784","2016-11-11","Light Tan","Control","PR"
"335786","2016-11-11","Black","Control","PR"
"335787","2016-11-11","Black","Control","PR"
"335788","2016-11-11","Black","Control","PR"
"335789","2016-11-11","Black","Control","PR"
"335790","2016-11-11","Black","Control","PR"
"335791","2016-11-11","Black","Control","PR"
"335792","2016-11-11","Black","Control","PR"
"335793","2016-11-11","Black","Control","PR"
"335794","2016-11-11","Black","Control","PR"
"335795","2016-11-11","Black","Control","PR"
"335796","2016-11-11","Black","Control","PR"
"335797","2016-11-11","Black","Control","PR"
"335798","2016-11-11","Black","Control","PR"
"335799","2016-11-11","Black","Control","PR"
"335800","2016-11-11","Black","Control","PR"
"335801","2016-11-11","Black","Control","PR"
"335802","2016-11-11","Black","Control","PR"
"335803","2016-11-11","Black","Control","PR"
"335804","2016-11-11","Black","Control","PR"
"335805","2016-11-11","Black","Control","PR"
"335806","2016-11-11","Black","Control","PR"
"335807","2016-11-11","Black","Control","PR"
"335808","2016-11-11","Black","Control","PR"
"335809","2016-11-11","Black","Control","PR"
"335810","2016-11-11","Black","Control","PR"
"335811","2016-11-11","Black","Control","PR"
"335812","2016-11-11","Black","Control","PR"
"335813","2016-11-11","Black","Control","PR"
"335814","2016-11-11","Black","Control","PR"
"335815","2016-11-11","Black","Control","PR"
"335816","2016-11-11","Black","Control","CO"
"335817","2016-11-11","Black","Control","CO"
"335818","2016-11-11","Black","Control","CO"
"335819","2016-11-11","Black","Control","CO"
"335820","2016-11-11","Black","Control","CO"
"335821","2016-11-11","Black","Control","CO"
"335822","2016-11-11","Black","Control","CO"
"335823","2016-11-11","Black","Control","CO"
"335824","2016-11-11","Black","Control","CO"
"335825","2016-11-11","Black","Control","CO"
"335826","2016-11-11","Black","Control","CO"
"335827","2016-11-11","Black","Control","CO"
"335828","2016-11-11","Black","Control","CO"
"335829","2016-11-11","Black","Control","CO"
"335830","2016-11-11","Black","Control","CO"
"335831","2016-11-11","Black","Control","CO"
"335832","2016-11-11","Black","Control","CO"
"335833","2016-11-11","Black","Control","CO"
"335834","2016-11-11","Black","Control","CO"
"335835","2016-11-11","Black","Control","CO"
"335836","2016-11-11","Black","Control","CO"
"335837","2016-11-11","Black","Control","CO"
"335838","2016-11-11","Black","Control","CO"
"335839","2016-11-11","Black","Control","CO"
"335840","2016-11-11","Black","Control","CO"
"335841","2016-11-11","Black","Control","CO"
"335842","2016-11-11","Black","Control","CO"
"335843","2016-11-11","Black","Control","CO"
"335844","2016-11-11","Black","Control","CO"
"335845","2016-11-11","Black","Control","CO"
"335846","2016-11-11","Black","Control","CO"
"335847","2016-11-11","Black","Control","CO"
"335848","2016-11-11","Black","Control","CO"
"335849","2016-11-11","Black","Control","CO"
"335850","2016-11-11","Black","Control","CO"
"335851","2016-11-11","Black","Control","CO"
"335852","2016-11-11","Black","Control","CO"
"335853","2016-11-11","Black","Control","CO"
"335854","2016-11-11","Black","Control","CO"
"335855","2016-11-11","Black","Control","CO"
"335856","2016-11-11","Black","Control","CO"
"335857","2016-11-11","Black","Control","CO"
"335858","2016-11-11","Black","Control","CO"
"335859","2016-11-11","Black","Control","CO"
"335860","2016-11-11","Black","Control","CO"
"335861","2016-11-11","Black","Control","CO"
"335862","2016-11-11","Black","Control","CO"
"335863","2016-11-11","Black","Control","CO"
"335864","2016-11-11","Black","Control","CO"
"335865","2016-11-11","Black","Control","CO"
"335866","2016-11-11","Black","Control","CO"
"335867","2016-11-11","Black","Control","CO"
"335868","2016-11-11","Black","Control","CO"
"335869","2016-11-11","Black","Control","CO"
"335870","2016-11-11","Black","Control","CO"
"335871","2016-11-11","Black","Control","CO"
"335872","2016-11-11","Black","Control","CO"
"335873","2016-11-11","Black","Control","CO"
